Timestamp,Bytes_Send_leo02,Bytes_Received_leo02,Packets_Send_leo02,Packets_Received_leo02,Errors_Send_leo02,Errors_Received_leo02,Drop_Incoming_leo02,Drop_total_leo02,CPU_percent_leo02,CPU_time_leo02,RAM_percent_leo02,RAM_info_leo02,LAT_leo02,LONG_leo02,ALT_leo02,Delay_local,Size_local,Bytes_Send_local,Bytes_Received_local,Packets_Send_local,Packets_Received_local,Errors_Send_local,Errors_Received_local,Drop_Incoming_local,Drop_total_local,CPU_percent_local,CPU_time_local,RAM_percent_local,RAM_info_local,Ping_target_local,LAT_local,LONG_local,ALT_local
0,,,,,,,,,,,,,49.627320518518516,6.1591832222222225,348.6111111111111,,,,,,,,,,,,,,,0.5,49.625899233333335,6.1588335333333335,351.02
1,117.6,177.6,1.2,2.2,,,,,97.3,0.58,0.26415996115103396,21627562.666666668,49.62731813333333,6.159182616666667,348.5,,,4506.571428571428,5080.714285714285,41.42857142857143,41.857142857142854,,,,,,0.09785714285714285,0.16326141754981258,26883510.85714286,0.85,49.625894333333335,6.158816841666667,351.29
2,196.0,262.0,2.0,3.1,,,,,42.4,0.728,0.3577403429568572,29289267.2,49.62731873333333,6.159179716666666,348.5,,,7441.7,7191.95,91.1,88.4,,,,,,0.11599999999999999,0.19039578602998092,31351603.2,1.0,49.62589395,6.158817600000001,351.24
3,9153.6,5656.4,27.2,14.6,,,,,,0.728,0.3577403429568572,29289267.2,49.627319650000004,6.159176116666666,348.48,,,5557.1,6178.1,75.2,74.2,,,,,,0.11599999999999999,0.19039578602998092,31351603.2,1.0,49.62589358333334,6.158817983333334,351.24
4,84041.4,7024.8,80.1,21.5,,,,,,0.728,0.3577403429568572,29289267.2,49.627321,6.1591727333333335,348.44,0.13547354085104799,51484.57142857143,6728.0,6635.2,99.0,98.1,,,,,,0.11599999999999999,0.19039578602998092,31351603.2,1.0,49.62589325,6.158818583333334,351.16999999999996
5,112968.2,2153.2,87.9,9.5,,,,,,0.728,0.3577403429568572,29289267.2,49.627321933333334,6.1591687833333335,348.44,0.19725900667685042,50964.444444444445,12085.3,17817.5,78.6,90.6,,,,,,0.11599999999999999,0.19039578602998092,31351603.2,1.0,49.62589258333334,6.158818999999999,351.19
6,109941.6,1111.8,83.4,7.0,,,,,,0.728,0.3577403429568572,29289267.2,49.6273232,6.159165433333333,348.45,0.15434529383977247,49144.0,9567.2,84505.6,80.9,137.2,,,,,,0.11599999999999999,0.19039578602998092,31351603.2,1.0,49.62589188333333,6.158819516666666,351.15
7,105009.0,759.6,79.5,5.9,,,,,,0.728,0.3577403429568572,29289267.2,49.62732381666667,6.15916135,348.41999999999996,0.12652316093444818,49144.0,8453.4,115015.3,95.1,173.7,,,,,,0.11599999999999999,0.19039578602998092,31351603.2,1.0,49.62589096666667,6.158820133333333,351.15
8,113138.2,1075.4,87.7,7.4,,,,,,0.728,0.3577403429568572,29289267.2,49.62732413333333,6.1591572333333335,348.35,0.22612626552581783,49144.0,7729.0,118057.1,98.6,175.9,,,,,,0.11599999999999999,0.19039578602998092,31351603.2,1.0,49.625890049999995,6.15882065,351.19
9,111977.6,622.8,85.6,6.3,,,,,,0.728,0.3577403429568572,29289267.2,49.62732531666667,6.159152566666667,348.21,0.17074525356292714,49144.0,9355.6,115325.8,129.7,205.4,,,,,,0.11599999999999999,0.19039578602998092,31351603.2,1.0,49.62588933333333,6.158820833333333,351.18
10,107636.0,530.8,81.6,5.5,,,,,,0.728,0.3577403429568572,29289267.2,49.627326616666664,6.15914855,348.16999999999996,0.14433195590972894,49144.0,6539.5,112207.4,85.8,160.7,,,,,,0.11599999999999999,0.19039578602998092,31351603.2,1.0,49.625888700000004,6.15882105,351.2
11,108222.4,577.8,83.2,5.9,,,,,,0.728,0.3577403429568572,29289267.2,49.62732771666667,6.159144466666667,348.21999999999997,0.1387409448623656,49144.0,8735.8,122396.8,123.0,205.1,,,,,,0.11599999999999999,0.19039578602998092,31351603.2,1.0,49.625888200000006,6.158820716666666,351.21999999999997
12,116886.2,615.0,89.1,6.2,,,,,,0.728,0.3577403429568572,29289267.2,49.62732846666667,6.159140450000001,348.18,0.17455526590347287,49144.0,5312.333333333333,98514.77777777778,72.11111111111111,139.55555555555554,,,,,,0.11555555555555556,0.19031065934267602,31337585.777777776,0.9,49.625886074074074,6.158823203703704,350.3333333333333
