Timestamp,Bytes_Send_leo02,Bytes_Received_leo02,Packets_Send_leo02,Packets_Received_leo02,Errors_Send_leo02,Errors_Received_leo02,Drop_Incoming_leo02,Drop_total_leo02,CPU_percent_leo02,CPU_time_leo02,RAM_percent_leo02,RAM_info_leo02,LAT_leo02,LONG_leo02,ALT_leo02,Delay_local,Size_local,Bytes_Send_local,Bytes_Received_local,Packets_Send_local,Packets_Received_local,Errors_Send_local,Errors_Received_local,Drop_Incoming_local,Drop_total_local,CPU_percent_local,CPU_time_local,RAM_percent_local,RAM_info_local,Ping_target_local,LAT_local,LONG_local,ALT_local
0,,,,,,,,,,,,,2.530655863737759e-10,3.851666666459955e-10,13.02111111111107,,,,,,,,,,,,,,,0.2777777777777778,2.3420222221193766e-09,9.46102777790406e-10,14.037
1,1920.7999999999997,3720.8,0.2,0.7,,,,,8.333333333333321,0.005666666666666674,0.020101249027671315,134742381184068.25,2.883012344867467e-10,3.4889537034662756e-10,11.353333333333365,,,6847976.9523809515,5991820.904761904,1443.6190476190477,1358.8095238095236,,,,,,0.0007821428571428572,0.0021444922859516036,58147270333001.15,0.11388888888888887,1.7596234568418282e-09,1.5426364969252775e-09,38.12711111111125
2,0.0,360.0,0.0,0.09999999999999999,,,,,2797.52,6.222222222222204e-05,4.477360757186097e-09,30012575.288890183,2.912604938631691e-10,3.2716080246652554e-10,10.897777777777767,,,21551447.788888887,23493430.358333334,3856.3222222222225,3798.9333333333334,,,,,,2.666666666666666e-05,2.4087241144817214e-07,6531183775.288923,0.0,1.7148336419394865e-09,1.5714271605086247e-09,36.313777777777744
3,63196900.266666666,29504736.71111111,541.9555555555555,139.82222222222222,,,,,,6.222222222222204e-05,4.477360757186097e-09,30012575.288890183,2.938237655400512e-10,3.0910524689748077e-10,10.41733333333327,,,26602283.433333334,39812232.766666666,5989.288888888888,5847.288888888888,,,,,,2.666666666666666e-05,2.4087241144817214e-07,6531183775.288923,0.0,1.6476620370473065e-09,1.5704904321351542e-09,35.05155555555552
4,3193707373.377778,46331838.400000006,1578.5444444444443,208.7222222222222,,,,,,6.222222222222204e-05,4.477360757186097e-09,30012575.288890183,2.990308643668211e-10,2.945074073980106e-10,10.033777777777809,0.002905037619133362,306783378.2857143,15725412.444444444,15824017.95555555,4060.6666666666665,4047.211111111111,,,,,,2.666666666666666e-05,2.4087241144817214e-07,6531183775.288923,0.0,1.6216682102408919e-09,1.6086126543381774e-09,34.34677777777782
5,1115102690.177778,9307590.399999999,607.6555555555556,39.38888888888889,,,,,,6.222222222222204e-05,4.477360757186097e-09,30012575.288890183,2.8409999997040604e-10,2.909324074039217e-10,9.844888888888892,0.016621175950857565,298261617.7777778,76686905.34444444,395451442.9444444,3797.8222222222216,5418.266666666666,,,,,,2.666666666666666e-05,2.4087241144817214e-07,6531183775.288923,0.0,1.591427469177501e-09,1.6451481481468601e-09,33.401000000000145
6,1257212250.4888887,60473.288888888885,677.1555555555557,1.5555555555555556,,,,,,6.222222222222204e-05,4.477360757186097e-09,30012575.288890183,2.733444444744517e-10,2.7741481480409636e-10,9.233888888888877,0.004822280092742527,298261617.77777773,76398011.73333333,3067459991.822222,4235.655555555555,1585.7333333333333,,,,,,2.666666666666666e-05,2.4087241144817214e-07,6531183775.288923,0.0,1.6095188269240317e-09,1.6554966049773e-09,32.71166666666662
7,1597289087.333333,101631.82222222225,842.4999999999999,1.4333333333333333,,,,,,6.222222222222204e-05,4.477360757186097e-09,30012575.288890183,2.617126543822711e-10,2.599472222196519e-10,8.888444444444477,0.0020361863835072795,298261617.77777773,56447931.82222222,1265265860.455556,6539.21111111111,6141.122222222223,,,,,,2.666666666666666e-05,2.4087241144817214e-07,6531183775.288923,0.0,1.6001530863068243e-09,1.6730234567909429e-09,32.042777777777694
8,1943853254.622222,108164.48888888888,1143.3444444444447,3.3777777777777778,,,,,,6.222222222222204e-05,4.477360757186097e-09,30012575.288890183,2.4770864195428136e-10,2.328530863997351e-10,8.147222222222187,0.05625612753141619,298261617.77777773,18867086.444444444,1448189530.3222222,4499.377777777778,5742.544444444444,,,,,,2.666666666666666e-05,2.4087241144817214e-07,6531183775.288923,0.0,1.5969200616861251e-09,1.67738549381485e-09,31.116555555555554
9,1503513915.3777776,30894.400000000005,821.6000000000003,2.233333333333334,,,,,,6.222222222222204e-05,4.477360757186097e-09,30012575.288890183,2.4473117285025365e-10,2.3590246913250216e-10,8.68099999999997,0.01054852918311314,298261617.77777773,116515521.60000001,1550471395.0666666,29480.677777777775,30839.600000000002,,,,,,2.666666666666666e-05,2.4087241144817214e-07,6531183775.288923,0.0,1.6761604937501189e-09,1.6394259259379804e-09,29.941777777777677
