Timestamp,Bytes_Send_leo02,Bytes_Received_leo02,Packets_Send_leo02,Packets_Received_leo02,Errors_Send_leo02,Errors_Received_leo02,Drop_Incoming_leo02,Drop_total_leo02,CPU_percent_leo02,CPU_time_leo02,RAM_percent_leo02,RAM_info_leo02,LAT_leo02,LONG_leo02,ALT_leo02,Delay_local,Size_local,Bytes_Send_local,Bytes_Received_local,Packets_Send_local,Packets_Received_local,Errors_Send_local,Errors_Received_local,Drop_Incoming_local,Drop_total_local,CPU_percent_local,CPU_time_local,RAM_percent_local,RAM_info_local,Ping_target_local,LAT_local,LONG_local,ALT_local
0,,,,,,,,,,,,,49.627324466666664,6.159189666666667,348.48,,,,,,,,,,,,,,,0.4,49.62592883333333,6.15882525,349.65
1,98.0,158.0,1.0,2.0,,,,,94.8,0.605,0.2195635294659134,17976320.0,49.62732473333333,6.159188266666667,348.32,,,4250.0,5557.333333333333,33.0,33.333333333333336,,,,,,0.09666666666666666,0.15882898623401964,26153642.666666668,0.9,49.62591656666667,6.158795799999999,351.63
2,196.0,268.0,2.0,3.2,,,,,5.0,0.73,0.35774534582850553,29289676.8,49.62732533333334,6.159184933333334,348.3,,,7550.4,7204.0,91.0,89.0,,,,,,0.118,0.19047538501031797,31364710.4,1.0,49.6259156,6.158796466666667,351.64
3,12861.6,8570.0,38.8,19.8,,,,,,0.73,0.35774534582850553,29289676.8,49.6273269,6.1591813,348.26,,,4470.2,5237.8,58.8,57.4,,,,,,0.118,0.19047538501031797,31364710.4,1.0,49.625914699999996,6.158797,351.68
4,108069.6,2721.2,86.8,14.6,,,,,,0.73,0.35774534582850553,29289676.8,49.62732866666667,6.159177966666666,348.21999999999997,0.1684137284755706,65528.0,6362.0,6259.2,94.6,93.8,,,,,,0.118,0.19047538501031797,31364710.4,1.0,49.625914,6.1587977333333335,351.71999999999997
5,138620.0,3056.8,108.0,11.2,,,,,,0.73,0.35774534582850553,29289676.8,49.6273296,6.159173733333334,348.24,0.2173313220342,65528.0,14761.0,16387.8,81.6,93.4,,,,,,0.118,0.19047538501031797,31364710.4,1.0,49.62591303333333,6.158798066666667,351.8
6,141646.4,1044.0,106.4,6.8,,,,,,0.73,0.35774534582850553,29289676.8,49.627331033333334,6.159170633333334,348.32,0.1688582181930541,65528.0,6039.6,124768.8,51.8,139.8,,,,,,0.118,0.19047538501031797,31364710.4,1.0,49.625911599999995,6.1587985666666665,351.84000000000003
7,141919.2,622.0,106.4,5.6,,,,,,0.73,0.35774534582850553,29289676.8,49.62733113333333,6.159166566666667,348.28000000000003,0.14169697761535638,65528.0,5734.2,145584.2,70.6,171.4,,,,,,0.118,0.19047538501031797,31364710.4,1.0,49.6259102,6.1587996,351.9
8,150916.4,1261.2,116.6,8.4,,,,,,0.73,0.35774534582850553,29289676.8,49.62733146666667,6.159162266666667,348.18,0.3718487739562988,65528.0,8202.8,151850.0,103.8,206.6,,,,,,0.118,0.19047538501031797,31364710.4,1.0,49.62590863333334,6.158800166666667,351.97999999999996
9,146971.6,680.4,111.4,6.8,,,,,,0.73,0.35774534582850553,29289676.8,49.627332466666665,6.159158166666667,348.04,0.22870860099792473,65528.0,10921.6,150729.6,154.0,255.2,,,,,,0.118,0.19047538501031797,31364710.4,1.0,49.6259082,6.158800533333333,351.96
10,147175.6,593.6,110.6,6.0,,,,,,0.73,0.35774534582850553,29289676.8,49.62733373333334,6.159154333333333,347.98,0.16672022342681878,65528.0,9313.8,154207.2,125.8,228.8,,,,,,0.118,0.19047538501031797,31364710.4,1.0,49.625906433333334,6.158800866666667,352.18
11,142174.0,588.4,108.2,6.0,,,,,,0.73,0.35774534582850553,29289676.8,49.62733416666667,6.159150033333334,347.98,0.1654789209365844,65528.0,7387.2,163814.4,98.8,211.6,,,,,,0.118,0.19047538501031797,31364710.4,1.0,49.62590646666667,6.1588009,352.15999999999997
12,159434.8,670.0,120.2,6.6,,,,,,0.73,0.35774534582850553,29289676.8,49.62733423333334,6.159146,347.88,0.24583386580149327,65528.0,4470.0,125192.0,56.25,143.75,,,,,,0.1175,0.1903037497089662,31336448.0,0.8,49.62590620833333,6.158801166666666,350.575
13,141664.4,547.6,106.6,5.6,,,,,,0.73,0.35774534582850553,29289676.8,49.62733413333333,6.159141333333333,348.02,0.17280411720275873,65528.0,9093.2,171423.8,125.3,243.0,,,,,,0.118,0.19047538501031797,31364710.4,0.9,49.62590543333333,6.1587998,352.39
14,161596.8,521.6,121.2,5.2,,,,,,0.73,0.35774534582850553,29289676.8,49.627334266666665,6.1591363333333335,347.96,0.3941754341125488,65528.0,5186.4,145207.2,74.4,174.4,,,,,,0.118,0.19047538501031797,31364710.4,1.0,49.6259053,6.1587993,352.5
15,154084.4,537.2,116.6,5.4,,,,,,0.73,0.35774534582850553,29289676.8,49.62733446666666,6.159131333333333,347.9,0.13136419653892512,65528.0,3822.6,115856.0,53.6,134.2,,,,,,0.118,0.19047538501031797,31364710.4,1.0,49.6259052,6.158799066666667,352.54
16,150269.2,1387.2,119.0,9.8,,,,,,0.73,0.35774534582850553,29289676.8,49.627334966666666,6.159126966666666,347.86,1.156493345896403,65528.0,9859.0,143616.0,149.5,245.5,,,,,,0.11499999999999999,0.19030374970896619,31336448.0,0.4,49.62592875,6.158785249999999,352.45000000000005
17,177010.4,829.6,136.8,8.2,,,,,,0.73,0.35774534582850553,29289676.8,49.627335900000006,6.159123866666667,347.78000000000003,1.2044225533803303,65528.0,8099.4,176519.8,118.4,240.4,,,,,,0.118,0.19047538501031797,31364710.4,0.6,49.62590303333333,6.158799233333334,352.71999999999997
18,174142.0,671.2,133.4,6.4,,,,,,0.73,0.35774534582850553,29289676.8,49.627335900000006,6.159119766666667,347.74,1.2249364256858826,65528.0,9303.5,114705.5,129.5,201.5,,,,,,0.12,0.1905151845004865,31371264.0,0.4,49.62589533333333,6.158790833333334,353.05
19,194850.4,714.0,150.8,6.4,,,,,,0.73,0.35774534582850553,29289676.8,49.6273359,6.159115266666666,347.64,1.1938986778259277,65528.0,9855.25,149859.25,137.5,237.5,,,,,,0.1175,0.1903037497089662,31336448.0,0.4,49.62590145833333,6.158799041666667,351.375
