Timestamp,Bytes_Send_leo02,Bytes_Received_leo02,Packets_Send_leo02,Packets_Received_leo02,Errors_Send_leo02,Errors_Received_leo02,Drop_Incoming_leo02,Drop_total_leo02,CPU_percent_leo02,CPU_time_leo02,RAM_percent_leo02,RAM_info_leo02,LAT_leo02,LONG_leo02,ALT_leo02,Delay_local,Size_local,Bytes_Send_local,Bytes_Received_local,Packets_Send_local,Packets_Received_local,Errors_Send_local,Errors_Received_local,Drop_Incoming_local,Drop_total_local,CPU_percent_local,CPU_time_local,RAM_percent_local,RAM_info_local,Ping_target_local,LAT_local,LONG_local,ALT_local
434,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,49.62597333333333,6.1588028333333344,352.3
902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.62734950000001,6.159186166666666,352.4,,,,,,,,,,,,,,,,,,
1592,,,,,,,,,,,,,,,,,,4132.0,7148.0,18.0,30.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1903161870496439,31338496.0,1.0,49.62597433333334,6.158802166666667,351.9
1908,422.0,340.0,3.0,4.0,0.0,0.0,0.0,0.0,99.8,0.5599999999999999,0.3530026235058923,28901376.0,49.627352,6.159182499999999,352.5,,,,,,,,,,,,,,,,,,
2440,,,,,,,,,,,,,,,,,,47946.0,31023.0,181.0,93.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1903161870496439,31338496.0,1.0,49.62597483333334,6.1588015,351.5
2909,196.0,196.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.73,0.3578053802882854,29294592.0,49.62735416666666,6.159178000000001,352.4,,,,,,,,,,,,,,,,,,
3434,,,,,,,,,,,,,,,,,,6296.0,7268.0,35.0,55.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1903161870496439,31338496.0,1.0,49.62597583333333,6.1588001666666665,351.1
3913,15412.0,12062.0,54.0,33.0,0.0,0.0,0.0,0.0,0.0,0.73,0.3578053802882854,29294592.0,49.62735583333333,6.159173999999999,352.5,,,,,,,,,,,,,,,,,,
4116,,,,,,,,,,,,,,,,0.0014731884002685,1016.0,,,,,,,,,,,,,,,,
4438,,,,,,,,,,,,,,,,,,2196.0,1543.0,14.0,15.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1903161870496439,31338496.0,1.0,49.62597616666667,6.1588,350.8
4525,,,,,,,,,,,,,,,,0.0031163692474365,1016.0,,,,,,,,,,,,,,,,
4911,2582.0,894.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.73,0.3578053802882854,29294592.0,49.627357,6.159170333333333,352.5,,,,,,,,,,,,,,,,,,
5028,,,,,,,,,,,,,,,,0.0063633918762207,1016.0,,,,,,,,,,,,,,,,
5492,,,,,,,,,,,,,,,,,,14148.0,15294.0,46.0,61.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1903161870496439,31338496.0,1.0,49.6259775,6.158799166666667,350.7
5523,,,,,,,,,,,,,,,,0.0009272098541259,1016.0,,,,,,,,,,,,,,,,
5923,2528.0,894.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.73,0.3578053802882854,29294592.0,49.6273575,6.159165833333333,352.3,,,,,,,,,,,,,,,,,,
6026,,,,,,,,,,,,,,,,0.0063738822937011,1016.0,,,,,,,,,,,,,,,,
6433,,,,,,,,,,,,,,,,,,2166.0,3150.0,17.0,12.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1903161870496439,31338496.0,1.0,49.62597983333333,6.158797666666668,350.2
6523,,,,,,,,,,,,,,,,0.0011165142059326,1016.0,,,,,,,,,,,,,,,,
6924,2528.0,894.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.73,0.3578053802882854,29294592.0,49.62735633333333,6.1591605,352.2,,,,,,,,,,,,,,,,,,
7022,,,,,,,,,,,,,,,,0.0014021396636962,1016.0,,,,,,,,,,,,,,,,
7443,,,,,,,,,,,,,,,,,,1622.0,3540.0,12.0,16.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1903161870496439,31338496.0,1.0,49.62598133333333,6.158796166666667,349.7
7523,,,,,,,,,,,,,,,,0.0010967254638671,1016.0,,,,,,,,,,,,,,,,
7914,2528.0,408.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.73,0.3578053802882854,29294592.0,49.62735716666666,6.159156166666666,352.3,,,,,,,,,,,,,,,,,,
8030,,,,,,,,,,,,,,,,0.0088415145874023,1016.0,,,,,,,,,,,,,,,,
8441,,,,,,,,,,,,,,,,,,5350.0,5338.0,19.0,21.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1903161870496439,31338496.0,1.0,49.62598166666667,6.1587955,349.5
8527,,,,,,,,,,,,,,,,0.0051424503326416,1016.0,,,,,,,,,,,,,,,,
8917,3376.0,1694.0,12.0,13.0,0.0,0.0,0.0,0.0,0.0,0.73,0.3578053802882854,29294592.0,49.627358333333326,6.159153,352.4,,,,,,,,,,,,,,,,,,
9022,,,,,,,,,,,,,,,,0.0009393692016601,1016.0,,,,,,,,,,,,,,,,
9437,,,,,,,,,,,,,,,,,,21801.0,3614.0,22.0,19.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1903161870496439,31338496.0,1.0,49.62598133333333,6.1587955,349.4
9523,,,,,,,,,,,,,,,,0.0012621879577636,1016.0,,,,,,,,,,,,,,,,
9921,2846.0,690.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.73,0.3578053802882854,29294592.0,49.62735966666667,6.159150333333334,352.5,,,,,,,,,,,,,,,,,,
10025,,,,,,,,,,,,,,,,0.0051400661468505,1016.0,,,,,,,,,,,,,,,,
10440,,,,,,,,,,,,,,,,,,21086.0,1772038.0,168.0,1444.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1903161870496439,31338496.0,1.0,49.62598033333334,6.158795333333334,349.3
10918,7096.0,2910.0,42.0,11.0,0.0,0.0,0.0,0.0,0.0,0.73,0.3578053802882854,29294592.0,49.62736,6.159146166666667,352.6,,,,,,,,,,,,,,,,,,
11919,12356.0,3560.0,84.0,12.0,0.0,0.0,0.0,0.0,0.0,0.73,0.3578053802882854,29294592.0,49.62735933333333,6.159141666666667,352.7,,,,,,,,,,,,,,,,,,
12436,,,,,,,,,,,,,,,,,,15679.0,4414.0,27.0,26.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1903161870496439,31338496.0,0.0,49.62597916666667,6.158795833333333,349.2
12911,7244.0,286.0,44.0,3.0,0.0,0.0,0.0,0.0,0.0,0.73,0.3578053802882854,29294592.0,49.62735933333333,6.159136833333334,352.8,,,,,,,,,,,,,,,,,,
13734,,,,,,,,,,,,,,,,,,24213.0,5285.0,117.0,30.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1903161870496439,31338496.0,0.0,49.62597883333333,6.158795833333333,348.9
13911,5242.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.73,0.3578053802882854,29294592.0,49.62735850000001,6.1591325,352.8,,,,,,,,,,,,,,,,,,
14918,4952.0,756.0,28.0,8.0,0.0,0.0,0.0,0.0,0.0,0.73,0.3578053802882854,29294592.0,49.62736116666667,6.159128166666666,353.1,,,,,,,,,,,,,,,,,,
15023,,,,,,,,,,,,,,,,,,5276.0,9934.0,44.0,36.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1903161870496439,31338496.0,0.0,49.62597766666666,6.158796666666666,348.9
15920,4846.0,1578.0,27.0,11.0,0.0,0.0,0.0,0.0,0.0,0.73,0.3578053802882854,29294592.0,49.62736216666667,6.1591231666666655,353.2,,,,,,,,,,,,,,,,,,
16316,,,,,,,,,,,,,,,,,,3513.0,3944.0,27.0,16.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1903161870496439,31338496.0,0.0,49.62597633333333,6.1587975,348.9
16914,3732.0,106.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.73,0.3578053802882854,29294592.0,49.627361666666665,6.159118333333334,353.3,,,,,,,,,,,,,,,,,,
17603,,,,,,,,,,,,,,,,,,6046.0,4740.0,29.0,19.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1903161870496439,31338496.0,0.0,49.62597516666666,6.158797833333334,348.8
17920,4014.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.73,0.3578053802882854,29294592.0,49.627358,6.159113333333333,352.8,,,,,,,,,,,,,,,,,,
18898,,,,,,,,,,,,,,,,,,5342.0,1292.0,41.0,9.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1903161870496439,31338496.0,0.0,49.625973666666674,6.1587995,348.7
18917,3690.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.73,0.3578053802882854,29294592.0,49.62735633333333,6.159107666666667,352.6,,,,,,,,,,,,,,,,,,
19918,4232.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.73,0.3578053802882854,29294592.0,49.627355666666666,6.159102166666666,352.4,,,,,,,,,,,,,,,,,,
20189,,,,,,,,,,,,,,,,,,14012.0,13734.0,127.0,129.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1903161870496439,31338496.0,0.0,49.62597333333333,6.158800499999999,348.7
20914,3690.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.73,0.3578053802882854,29294592.0,49.62735633333333,6.1590975,352.4,,,,,,,,,,,,,,,,,,
21488,,,,,,,,,,,,,,,,,,138988.0,12237.0,271.0,112.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1903161870496439,31338496.0,0.0,49.62597300000001,6.1588015,348.7
21922,8554.0,7724.0,61.0,73.0,0.0,0.0,0.0,0.0,0.0,0.73,0.3578053802882854,29294592.0,49.62735616666667,6.159093,352.3,,,,,,,,,,,,,,,,,,
22785,,,,,,,,,,,,,,,,,,76746.0,15572.0,207.0,60.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1903161870496439,31338496.0,0.0,49.625973666666674,6.158804666666667,348.6
22911,10754.0,7106.0,73.0,57.0,0.0,0.0,0.0,0.0,0.0,0.73,0.3578053802882854,29294592.0,49.62735666666667,6.159088166666667,352.4,,,,,,,,,,,,,,,,,,
23919,3754.0,204.0,17.0,2.0,0.0,0.0,0.0,0.0,0.0,0.73,0.3578053802882854,29294592.0,49.627358666666666,6.159083166666666,352.6,,,,,,,,,,,,,,,,,,
24080,,,,,,,,,,,,,,,,,,83834.0,12038.0,143.0,50.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1903161870496439,31338496.0,0.0,49.62597300000001,6.158804999999999,348.6
24916,3538.0,282.0,15.0,3.0,0.0,0.0,0.0,0.0,0.0,0.73,0.3578053802882854,29294592.0,49.62736066666666,6.159078833333333,352.9,,,,,,,,,,,,,,,,,,
25381,,,,,,,,,,,,,,,,,,4048.0,703.0,42.0,8.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1903161870496439,31338496.0,0.0,49.62597349999999,6.158806499999999,348.6
25915,5822.0,5946.0,33.0,25.0,0.0,0.0,0.0,0.0,0.0,0.73,0.3578053802882854,29294592.0,49.6273625,6.159074,353.0,,,,,,,,,,,,,,,,,,
26675,,,,,,,,,,,,,,,,,,5704.0,338.0,46.0,4.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1903161870496439,31338496.0,0.0,49.62597333333333,6.158808333333334,348.8
26914,3220.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.73,0.3578053802882854,29294592.0,49.627363,6.159069333333334,353.1,,,,,,,,,,,,,,,,,,
27920,4232.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.73,0.3578053802882854,29294592.0,49.62736483333333,6.159064000000001,353.3,,,,,,,,,,,,,,,,,,
27959,,,,,,,,,,,,,,,,,,168961.0,23805.0,221.0,87.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1903161870496439,31338496.0,0.0,49.62597316666667,6.1588105,349.1
28917,3706.0,3014.0,17.0,7.0,0.0,0.0,0.0,0.0,0.0,0.73,0.3578053802882854,29294592.0,49.62736533333334,6.1590593333333326,353.2,,,,,,,,,,,,,,,,,,
29247,,,,,,,,,,,,,,,,,,14538.0,3868.0,69.0,22.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1903161870496439,31338496.0,0.0,49.62597333333333,6.158812,349.3
29920,7586.0,4408.0,41.0,30.0,0.0,0.0,0.0,0.0,0.0,0.73,0.3578053802882854,29294592.0,49.627367166666666,6.159055166666667,353.5,,,,,,,,,,,,,,,,,,
30536,,,,,,,,,,,,,,,,,,7074.0,6152.0,38.0,42.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1903161870496439,31338496.0,0.0,49.62597383333333,6.158812999999999,349.4
30917,3502.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.73,0.3578053802882854,29294592.0,49.62737083333333,6.159050666666667,354.0,,,,,,,,,,,,,,,,,,
31824,,,,,,,,,,,,,,,,,,2379.0,12254.0,24.0,46.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1903161870496439,31338496.0,0.0,49.62597216666666,6.158814666666666,349.8
31908,3126.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.73,0.3578053802882854,29294592.0,49.627372666666666,6.159045,354.2,,,,,,,,,,,,,,,,,,
32915,3220.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.73,0.3578053802882854,29294592.0,49.627374,6.1590411666666665,354.5,,,,,,,,,,,,,,,,,,
33112,,,,,,,,,,,,,,,,,,7924.0,24142.0,50.0,171.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1903161870496439,31338496.0,0.0,49.62597016666667,6.158816666666667,350.0
33921,4868.0,1784.0,24.0,14.0,0.0,0.0,0.0,0.0,0.0,0.73,0.3578053802882854,29294592.0,49.62737416666667,6.159037166666667,354.5,,,,,,,,,,,,,,,,,,
34404,,,,,,,,,,,,,,,,,,5690.0,1362.0,45.0,16.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1903161870496439,31338496.0,0.0,49.62596733333333,6.158816166666666,350.4
34919,3220.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.73,0.3578053802882854,29294592.0,49.62737166666668,6.159035500000001,354.0,,,,,,,,,,,,,,,,,,
35693,,,,,,,,,,,,,,,,,,2676.0,588.0,28.0,7.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1903161870496439,31338496.0,0.0,49.625965,6.158818,350.7
35918,5072.0,756.0,26.0,8.0,0.0,0.0,0.0,0.0,0.0,0.73,0.3578053802882854,29294592.0,49.62737216666666,6.159032833333333,354.1,,,,,,,,,,,,,,,,,,
36917,3902.0,188.0,19.0,2.0,0.0,0.0,0.0,0.0,0.0,0.73,0.3578053802882854,29294592.0,49.62737083333333,6.159028833333334,354.0,,,,,,,,,,,,,,,,,,
36980,,,,,,,,,,,,,,,,,,4913.0,5199.0,35.0,31.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1903161870496439,31338496.0,0.0,49.62596416666667,6.158818999999999,350.9
37918,7950.0,4718.0,45.0,33.0,0.0,0.0,0.0,0.0,0.0,0.73,0.3578053802882854,29294592.0,49.627370500000005,6.159024,353.8,,,,,,,,,,,,,,,,,,
38249,,,,,,,,,,,,,,,,,,2374.0,1610.0,20.0,17.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1903161870496439,31338496.0,0.0,49.62596433333333,6.158820666666666,350.9
38911,4718.0,1528.0,27.0,16.0,0.0,0.0,0.0,0.0,0.0,0.73,0.3578053802882854,29294592.0,49.627371833333335,6.159019499999999,354.0,,,,,,,,,,,,,,,,,,
39517,,,,,,,,,,,,,,,,,,2012.0,602.0,22.0,7.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1903161870496439,31338496.0,0.0,49.62596466666667,6.158821333333333,350.9
39919,3168.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.73,0.3578053802882854,29294592.0,49.627370500000005,6.1590143333333325,353.6,,,,,,,,,,,,,,,,,,
40786,,,,,,,,,,,,,,,,,,1040.0,451.0,12.0,5.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1903161870496439,31338496.0,0.0,49.625964833333335,6.1588225,351.1
40911,4262.0,1000.0,21.0,8.0,0.0,0.0,0.0,0.0,0.0,0.73,0.3578053802882854,29294592.0,49.62736833333334,6.159011166666667,353.3,,,,,,,,,,,,,,,,,,
41087,,,,,,,,,,,,,,,,28.56454873085022,1016.0,,,,,,,,,,,,,,,,
41318,,,,,,,,,,,,,,,,27.79551863670349,1016.0,,,,,,,,,,,,,,,,
41918,1626.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.73,0.3578053802882854,29294592.0,49.62736816666667,6.1590083333333325,353.2,,,,,,,,,,,,,,,,,,
42075,,,,,,,,,,,,,,,,,,1106.0,434.0,9.0,5.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1903161870496439,31338496.0,0.0,49.625965,6.1588225,351.2
42907,84.0,518.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.73,0.3578053802882854,29294592.0,49.62736633333334,6.159005666666667,352.9,,,,,,,,,,,,,,,,,,
43371,,,,,,,,,,,,,,,,,,2030.0,1954.0,20.0,18.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1903161870496439,31338496.0,0.0,49.625965,6.158823333333333,351.4
43908,,,,,,,,,,,,,,,,,,1636.0,4670.0,21.0,39.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1903161870496439,31338496.0,0.0,49.62596333333333,6.158822166666666,351.7
43919,3986.0,3994.0,31.0,33.0,0.0,0.0,0.0,0.0,0.0,0.73,0.3578053802882854,29294592.0,49.62736499999999,6.159002833333333,352.7,,,,,,,,,,,,,,,,,,
44340,,,,,,,,,,,,,,,,24.81817626953125,1016.0,,,,,,,,,,,,,,,,
44341,,,,,,,,,,,,,,,,24.319116353988647,1016.0,,,,,,,,,,,,,,,,
44342,,,,,,,,,,,,,,,,23.8197078704834,1016.0,,,,,,,,,,,,,,,,
44601,,,,,,,,,,,,,,,,23.07907152175904,1016.0,,,,,,,,,,,,,,,,
44602,,,,,,,,,,,,,,,,22.57992935180664,1016.0,,,,,,,,,,,,,,,,
44603,,,,,,,,,,,,,,,,22.080472707748413,1016.0,,,,,,,,,,,,,,,,
44603,,,,,,,,,,,,,,,,21.58097553253174,1016.0,,,,,,,,,,,,,,,,
44909,7456.0,8046.0,46.0,51.0,0.0,0.0,0.0,0.0,0.0,0.73,0.3578053802882854,29294592.0,49.6273635,6.159,352.7,,,,,,,,,,,,,,,,,,
44915,,,,,,,,,,,,,,,,20.89308881759644,1016.0,,,,,,,,,,,,,,,,
44915,,,,,,,,,,,,,,,,20.39340877532959,1016.0,,,,,,,,,,,,,,,,
44916,,,,,,,,,,,,,,,,19.893584489822388,1016.0,,,,,,,,,,,,,,,,
44916,,,,,,,,,,,,,,,,19.3937406539917,1016.0,,,,,,,,,,,,,,,,
