Timestamp,Bytes_Send,Bytes_Received,Packets_Send,Packets_Received,Errors_Send,Errors_Received,Drop_Incoming,Drop_total,CPU_percent,CPU_time,RAM_percent,RAM_info,Ping_target,LAT,LONG,ALT
1285,0,0,0,0,0,0,0,0,0,0,0,0,1,49.6259145,6.158861166666666,348.2
2965,33852,13991,128,79,0,0,0,0,0.0,0.11,0.1901669389615119,31313920,0,49.625915666666664,6.158861999999999,347.8
4233,50700,3152,124,29,0,0,0,0,0.0,0.11,0.1901669389615119,31313920,0,49.62591783333334,6.158862166666667,347.1
5293,21386,2154,85,23,0,0,0,0,0.0,0.11,0.1901669389615119,31313920,1,49.625918333333324,6.158862666666666,346.6
6562,26338,6686,78,63,0,0,0,0,0.0,0.11,0.1901669389615119,31313920,0,49.625918,6.158861999999999,346.1
7830,32987,6948,99,41,0,0,0,0,0.0,0.11,0.1901669389615119,31313920,0,49.62591883333333,6.158861666666667,345.6
9115,5371,2034,47,12,0,0,0,0,0.0,0.11,0.1901669389615119,31313920,0,49.62591933333333,6.158861999999999,345.4
10401,13932,1400,55,17,0,0,0,0,0.0,0.11,0.1901669389615119,31313920,0,49.625918166666665,6.158861999999999,345.1
11699,3555,2450,34,15,0,0,0,0,0.0,0.11,0.1901669389615119,31313920,0,49.625918166666665,6.158861999999999,344.9
12983,9320,2698,46,22,0,0,0,0,0.0,0.11,0.1901669389615119,31313920,0,49.625917333333334,6.158862166666667,344.9
14266,3612,1443,35,16,0,0,0,0,0.0,0.11,0.1901669389615119,31313920,0,49.625915666666664,6.158862666666666,345.0
15534,14472,5683,69,42,0,0,0,0,0.0,0.11,0.1901669389615119,31313920,0,49.625915333333324,6.158862833333334,344.9
16801,15121,50407,97,180,0,0,0,0,0.0,0.11,0.1901669389615119,31313920,0,49.62591483333334,6.1588631666666664,344.9
18071,6340,2145,47,22,0,0,0,0,0.0,0.11,0.1901669389615119,31313920,0,49.6259145,6.158863499999999,344.8
19341,5615,3367,57,21,0,0,0,0,0.0,0.11,0.1901669389615119,31313920,0,49.62591333333333,6.158864333333335,344.6
20611,2524,1384,26,16,0,0,0,0,0.0,0.11,0.1901669389615119,31313920,0,49.625912,6.158864166666666,344.6
21879,5964,4470,30,27,0,0,0,0,0.0,0.11,0.1901669389615119,31313920,0,49.62591016666667,6.158864333333335,344.8
23148,5200,3994,18,24,0,0,0,0,0.0,0.11,0.1901669389615119,31313920,0,49.62590866666666,6.158864333333335,344.9
24419,15650,15610,85,86,0,0,0,0,0.0,0.11,0.1901669389615119,31313920,0,49.625906666666666,6.158863499999999,345.0
25690,10406,34170,93,140,0,0,0,0,0.0,0.11,0.1901669389615119,31313920,0,49.625906500000006,6.158863833333333,345.0
26960,14208,3584,121,27,0,0,0,0,0.0,0.11,0.1901669389615119,31313920,0,49.625905166666676,6.158863833333333,345.3
28231,21128,8560,63,36,0,0,0,0,0.0,0.11,0.1901669389615119,31313920,0,49.625904000000006,6.158864333333335,345.3
29517,4138,2688,35,13,0,0,0,0,0.0,0.11,0.1901669389615119,31313920,0,49.62590350000001,6.158864666666667,345.6
30817,2016,830,19,5,0,0,0,0,0.0,0.11,0.1901669389615119,31313920,0,49.62590316666667,6.158864666666667,345.7
32113,23921,4870,110,32,0,0,0,0,0.0,0.11,0.1901669389615119,31313920,0,49.62590216666668,6.158864833333333,346.0
33410,76136,3712,167,41,0,0,0,0,0.0,0.11,0.1901669389615119,31313920,0,49.62590050000001,6.158865333333334,346.9
34696,9216,4125,62,22,0,0,0,0,0.0,0.11,0.1901669389615119,31313920,0,49.62590016666666,6.158865666666666,347.3
35964,14248,5781,49,58,0,0,0,0,0.0,0.11,0.1901669389615119,31313920,0,49.625899499999996,6.158866499999999,347.7
37231,9636,8461,71,59,0,0,0,0,0.0,0.11,0.1901669389615119,31313920,0,49.62589933333334,6.158867999999999,348.6
38515,44898,5144,99,50,0,0,0,0,0.0,0.11,0.1901669389615119,31313920,0,49.62589916666668,6.158868333333333,349.0
39640,36476,14963,79,73,0,0,0,0,0.0,0.11,0.1901669389615119,31313920,0,49.62589933333334,6.158868666666666,349.2
40933,9177,8831,60,56,0,0,0,0,0.0,0.11,0.1901669389615119,31313920,0,49.625899499999996,6.158868833333334,349.3
42202,15741,10769,60,52,0,0,0,0,0.0,0.11,0.1901669389615119,31313920,0,49.62589983333334,6.158869166666666,349.5
42995,2142,836,24,8,0,0,0,0,0.0,0.11,0.1901669389615119,31313920,0,49.625899499999996,6.158869999999999,349.9
44264,2776,2916,26,27,0,0,0,0,0.0,0.11,0.1901669389615119,31313920,0,49.62589933333334,6.158870500000001,350.0
45546,1122,1682,13,9,0,0,0,0,0.0,0.11,0.1901669389615119,31313920,0,49.625899499999996,6.158870666666667,350.1
46131,8097,5974,28,44,0,0,0,0,0.0,0.11,0.1901669389615119,31313920,0,49.62589983333334,6.158871166666668,350.2
47430,2595,13938,23,40,0,0,0,0,0.0,0.11,0.1901669389615119,31313920,0,49.62590033333333,6.158871333333334,350.3
