Timestamp,Bytes_Send,Bytes_Received,Packets_Send,Packets_Received,Errors_Send,Errors_Received,Drop_Incoming,Drop_total,CPU_percent,CPU_time,RAM_percent,RAM_info,Ping_target,LAT,LONG,ALT
848,0,0,0,0,0,0,0,0,0,0,0,0,1,49.62593766666667,6.158812499999999,346.8
1825,4000,4280,22,22,0,0,0,0,0.0,0.12,0.19058980854455254,31383552,1,49.62593666666667,6.158813833333332,346.9
2821,652,632,8,6,0,0,0,0,0.0,0.12,0.19058980854455254,31383552,1,49.62593566666666,6.158815333333333,347.0
3965,4244,4132,54,53,0,0,0,0,0.0,0.12,0.19058980854455254,31383552,1,49.62593466666667,6.1588165,347.1
4819,10960,10848,172,171,0,0,0,0,0.0,0.12,0.19058980854455254,31383552,1,49.62593383333333,6.158818,347.1
5858,6807,5107,65,58,0,0,0,0,0.0,0.12,0.19058980854455254,31383552,1,49.6259325,6.158819500000001,347.2
6822,11046,92884,29,92,0,0,0,0,0.0,0.12,0.19058980854455254,31383552,1,49.62593149999999,6.1588199999999995,347.2
7817,8480,141732,113,208,0,0,0,0,0.0,0.12,0.19058980854455254,31383552,1,49.6259305,6.158821166666667,347.3
8957,8967,167985,94,206,0,0,0,0,0.0,0.12,0.19058980854455254,31383552,1,49.62592983333334,6.158822333333334,347.2
9818,6874,134306,70,164,0,0,0,0,0.0,0.12,0.19058980854455254,31383552,1,49.62592849999999,6.158823166666667,347.3
10821,6229,168879,77,193,0,0,0,0,0.0,0.12,0.19058980854455254,31383552,1,49.62592716666666,6.158824333333333,347.4
11821,16500,174650,238,344,0,0,0,0,0.0,0.12,0.19058980854455254,31383552,1,49.6259265,6.158825166666666,347.4
12819,2168,136012,24,121,0,0,0,0,0.0,0.12,0.19058980854455254,31383552,1,49.625925666666674,6.158825166666666,347.4
13820,10100,157368,146,253,0,0,0,0,0.0,0.12,0.19058980854455254,31383552,1,49.62592466666667,6.1588259999999995,347.4
14819,744,134588,8,105,0,0,0,0,0.0,0.12,0.19058980854455254,31383552,1,49.625924166666664,6.158826333333334,347.4
15821,4659,151227,59,163,0,0,0,0,0.0,0.12,0.19058980854455254,31383552,1,49.625923166666674,6.158826333333334,347.5
17205,1080,134844,11,107,0,0,0,0,0.0,0.12,0.19058980854455254,31383552,1,49.625922499999994,6.158826833333334,347.5
18641,7620,130660,110,202,0,0,0,0,0.0,0.12,0.19058980854455254,31383552,1,49.62592166666666,6.158826833333334,347.5
19679,14391,184823,197,317,0,0,0,0,0.0,0.12,0.19058980854455254,31383552,1,49.625921,6.158827666666667,347.5
20947,15421,249447,225,396,0,0,0,0,0.0,0.12,0.19058980854455254,31383552,0,49.62592066666666,6.158827499999999,347.5
21457,9410,280028,133,327,0,0,0,0,0.0,0.12,0.19058980854455254,31383552,1,49.625919833333334,6.158827333333333,347.5
21959,1436,263592,12,202,0,0,0,0,0.0,0.12,0.19058980854455254,31383552,1,49.62591916666667,6.1588259999999995,347.5
22819,3830,263025,40,219,0,0,0,0,0.0,0.12,0.19058980854455254,31383552,1,49.625918333333324,6.158826333333334,347.4
23814,10842,191642,156,277,0,0,0,0,0.0,0.12,0.19058980854455254,31383552,1,49.625918,6.1588261666666675,347.4
24836,744,134428,8,103,0,0,0,0,0.0,0.12,0.19058980854455254,31383552,1,49.625916999999994,6.158825666666667,347.4
25824,7014,140148,81,175,0,0,0,0,0.0,0.12,0.19058980854455254,31383552,1,49.62591583333333,6.1588253333333345,347.4
26821,2324,148464,24,129,0,0,0,0,0.0,0.12,0.19058980854455254,31383552,1,49.625915166666665,6.158825500000001,347.3
28189,15864,149628,240,336,0,0,0,0,0.0,0.12,0.19058980854455254,31383552,1,49.6259145,6.158824,347.3
29822,12986,139276,191,283,0,0,0,0,0.0,0.12,0.19058980854455254,31383552,0,49.62591466666666,6.1588235,347.1
31121,6108,15310,79,82,0,0,0,0,0.0,0.12,0.19058980854455254,31383552,0,49.625913499999996,6.158824166666666,347.0
32412,2896,220664,32,196,0,0,0,0,0.0,0.12,0.19058980854455254,31383552,0,49.625913499999996,6.158823333333333,346.8
33696,10392,227608,148,310,0,0,0,0,0.0,0.12,0.19058980854455254,31383552,0,49.625912500000005,6.1588235,346.7
34965,19426,321344,288,498,0,0,0,0,0.0,0.12,0.19058980854455254,31383552,0,49.625912166666666,6.158822833333333,346.6
36234,33981,374417,511,768,0,0,0,0,0.0,0.12,0.19058980854455254,31383552,0,49.625911166666675,6.158822166666666,346.4
37374,1759,215352,16,174,0,0,0,0,0.0,0.12,0.19058980854455254,31383552,1,49.625910499999996,6.158822666666667,346.3
38662,8004,201003,75,232,0,0,0,0,0.0,0.12,0.19058980854455254,31383552,0,49.625909666666665,6.158823333333333,346.3
39909,13310,98953,183,238,0,0,0,0,0.0,0.12,0.19058980854455254,31383552,1,49.625909,6.158823333333333,346.2
40310,8994,297824,112,351,0,0,0,0,0.0,0.12,0.19058980854455254,31383552,1,49.625907833333336,6.158822666666667,346.0
41693,1572,158844,13,132,0,0,0,0,0.0,0.12,0.19058980854455254,31383552,1,49.6259075,6.158822,346.0
42990,3762,273948,25,211,0,0,0,0,0.0,0.12,0.19058980854455254,31383552,0,49.62590733333333,6.158820666666666,346.0
44257,11346,147696,145,235,0,0,0,0,0.0,0.12,0.19058980854455254,31383552,0,49.62590683333333,6.158819666666667,345.9
