Timestamp,Bytes_Send_leo02,Bytes_Received_leo02,Packets_Send_leo02,Packets_Received_leo02,Errors_Send_leo02,Errors_Received_leo02,Drop_Incoming_leo02,Drop_total_leo02,CPU_percent_leo02,CPU_time_leo02,RAM_percent_leo02,RAM_info_leo02,LAT_leo02,LONG_leo02,ALT_leo02,Delay_local,Size_local,Bytes_Send_local,Bytes_Received_local,Packets_Send_local,Packets_Received_local,Errors_Send_local,Errors_Received_local,Drop_Incoming_local,Drop_total_local,CPU_percent_local,CPU_time_local,RAM_percent_local,RAM_info_local,Ping_target_local,LAT_local,LONG_local,ALT_local
0,,,,,,,,,,,,,1.1498912037659395e-09,2.24668981479682e-10,20.080833333333455,,,,,,,,,,,,,,,0.20952380952380953,2.8904626265426323e-09,1.3354297980014036e-09,38.80690909090903
1,14996.571428571428,8366.285714285714,0.5714285714285715,1.2857142857142858,,,,,7.142857142857138,0.018257142857142857,0.011385001543186809,76734244922514.31,9.213843917880517e-10,3.4703359788191936e-10,20.710952380952612,,,893601365.2909092,216658789.25,2660.168181818182,735.0545454545452,,,,,157.00333333333327,0.0007780555555555561,0.003497284189886251,94827867519931.72,0.1738095238095238,4.562580483867153e-09,1.575158867522001e-08,43.27525641025638
2,0.0,0.0,0.0,0.0,,,,,969.508,4.095238095238137e-05,6.548467864498053e-07,4389558837.638092,9.235230159504773e-10,3.3486693122217494e-10,19.988380952380908,,,1613286377.1714287,160562542.20714286,4708.888095238095,1164.3738095238098,,,,,,0.0020114285714285724,0.005986276867381617,162316197053508.28,0.03095238095238095,4.427445304612806e-09,1.3680885383535589e-08,41.8982857142857
3,437605617.6380952,129722479.92380951,1749.409523809524,417.6380952380952,,,,,,4.095238095238137e-05,6.548467864498053e-07,4389558837.638092,8.449661376027296e-10,3.1747142858078896e-10,18.6317142857143,,,4944126.769230769,54391342.22527473,213.60989010989013,304.42307692307696,,,,,,0.0018071428571428587,0.004971506566581256,134800988559517.56,0.06666666666666667,4.62337683178551e-09,1.4389769993934023e-08,44.0317032967033
4,263704282.7809524,67565717.9809524,822.4285714285714,465.7809523809524,,,,,,4.095238095238137e-05,6.548467864498053e-07,4389558837.638092,8.088272487546876e-10,3.0827645502783217e-10,17.96838095238099,,,1744077.5897435897,4379311.743589744,108.06410256410255,92.35256410256409,,,,,,0.0010730769230769244,0.002806616118805632,76100598934186.66,0.130952380952381,2.443972934600453e-09,9.28416666684818e-10,29.66474358974393
5,905972807.8095237,115147588.49523808,2171.7809523809524,709.3142857142858,,,,,,4.095238095238137e-05,6.548467864498053e-07,4389558837.638092,7.965312168071528e-10,2.9734470900651635e-10,17.457428571428498,0.00986780338581994,26563925.333333332,4917811.242424242,8858389.901515152,382.9924242424242,239.53787878787878,,,,,,0.00209318181818182,0.004094320445407447,111016336019828.36,0.20952380952380953,4.9017415825497856e-09,1.6162785143111787e-08,30.586060606060574
6,174993270.09523806,9723386.923076922,125.26666666666665,43.142857142857125,,,,,,4.095238095238137e-05,6.548467864498053e-07,4389558837.638092,7.687613755949703e-10,2.8753042328869294e-10,16.84780952380953,0.003309834734281526,29360128.0,254068663.8409091,347304464.51515144,1241.3238636363637,1045.6117424242423,,,,,,0.0011537878787878798,0.0005986869211244164,16233225828910.537,0.23809523809523808,2.809311026937435e-09,1.9230153093729957e-09,34.0462878787879
7,293068256.83809525,33756113.63809524,313.6952380952381,200.55238095238096,,,,,,4.095238095238137e-05,6.548467864498053e-07,4389558837.638092,7.360613755093693e-10,2.892399470805306e-10,16.21638095238105,0.0018153320872933444,29360128.0,126023000.95054944,307625382.22527474,1005.006868131868,473.10439560439556,,,,,,0.0018071428571428592,0.003475041743762985,94224769910536.47,0.20952380952380953,4.2078273807718714e-09,1.2707600007605445e-08,40.59939560439555
8,190786169.40952381,27230396.838095237,139.17142857142855,99.12380952380951,,,,,,4.095238095238137e-05,6.548467864498053e-07,4389558837.638092,7.201208994463314e-10,2.879939153403807e-10,16.57400000000003,0.24354085367786582,31114109.67272727,333725823.05952376,256806190.3880952,3532.7928571428565,1162.5595238095239,,,,,,0.0017066666666666682,0.0033869244206066107,91835493719986.02,0.1238095238095238,4.31239947027838e-09,1.2872241732752784e-08,41.87864285714296
9,113288366.78095241,43132574.97142857,126.12380952380953,145.95238095238096,,,,,,4.095238095238137e-05,6.548467864498053e-07,4389558837.638092,7.074484127276783e-10,2.785415343874034e-10,16.097809523809577,0.2031988085255528,28470427.151515152,68256820.24725275,230058754.22527468,466.18131868131877,358.77609890109886,,,,,,0.0018071428571428587,0.003643223352420355,98784966462812.84,0.1238095238095238,4.6231390796374826e-09,1.401108546998626e-08,46.34263736263736
