Timestamp,Bytes_Send_leo02,Bytes_Received_leo02,Packets_Send_leo02,Packets_Received_leo02,Errors_Send_leo02,Errors_Received_leo02,Drop_Incoming_leo02,Drop_total_leo02,CPU_percent_leo02,CPU_time_leo02,RAM_percent_leo02,RAM_info_leo02,LAT_leo02,LONG_leo02,ALT_leo02,Delay_local,Size_local,Bytes_Send_local,Bytes_Received_local,Packets_Send_local,Packets_Received_local,Errors_Send_local,Errors_Received_local,Drop_Incoming_local,Drop_total_local,CPU_percent_local,CPU_time_local,RAM_percent_local,RAM_info_local,Ping_target_local,LAT_local,LONG_local,ALT_local
0,,,,,,,,,,,,,4.714638889207743e-10,6.388888889015157e-11,16.612999999999918,,,,,,,,,,,,0.0,4.141743916880352e-05,1123022099797.3345,0.3,4.890833335208337e-10,6.758333332802379e-11,38.843333333333405
1,38532.0,13448.0,1.0,2.0,,,,,75.0,0.036399999999999974,0.017495841753539774,117265520044714.67,4.469361110480471e-10,8.699166665267314e-11,16.234999999999943,,,,,,,,,,,,0.005,0.023849203117495547,646664368947200.0,0.3,6.903125000625297e-09,6.48000000005293e-10,38.71999999999985
2,7182400.0,5681517.333333333,1285.3333333333333,973.6666666666666,,,,,99.00333333333329,0.0034916666666666703,2.1929334317273666e-05,146996374186.66626,6.151921298099944e-10,1.4268518518546752e-10,18.576666666666576,,,978089855.45,504074793.7,4770.875,2115.825,,,,,,0.0006300000000000001,0.0006573900284639832,17824943911731.207,0.19999999999999998,7.80095277780509e-09,6.799944444459128e-09,56.78500000000004
3,158356837.2,38657702.0,610.7,525.5,,,,,,0.01880000000000001,2.7681769550967087e-06,18555600896.0,4.563111111079357e-10,1.264777777727825e-10,13.943000000000083,,,496689012.0,203058635.8,3757.3,1533.1999999999998,,,,,,3.0000000000000055e-05,5.001351923213545e-07,13561023692.800465,0.2,7.895463888678418e-09,6.883540277752232e-09,54.015499999999975
4,433757810.8,6264605.2,2346.7,698.7,,,,,,0.01880000000000001,2.7681769550967087e-06,18555600896.0,4.460333333613316e-10,1.4568055556720284e-10,13.998000000000236,,,3722361.333333333,527664.0,54.33333333333332,12.333333333333332,,,,,,3.333333333333337e-05,1.31381136339097e-07,3562362197.333542,0.3,1.8785277781449835e-09,1.0465833333036513e-09,18.923333333333016
5,796820488.8000002,297501346.0,4595.05,3878.0,,,,,,0.01880000000000001,2.7681769550967087e-06,18555600896.0,3.9113055560851393e-10,1.394291666560426e-10,13.27300000000004,,,6522555.666666665,14505060.0,199.0,130.91666666666666,,,,,,2.500000000000002e-05,4.978870692662664e-07,13500066474.6669,0.3,8.196824074043402e-09,7.644451388948772e-09,43.77000000000006
6,6306027900.0,126512764.0,3692.6666666666665,534.3333333333333,,,,,,0.02169166666666666,6.069465746935474e-08,406847488.0000432,5.08472222182769e-10,1.7302546295628678e-10,15.22916666666655,,,79315946.91666667,135392345.33333334,1342.9166666666667,904.2500000000001,,,,,,2.500000000000002e-05,6.638666131734736e-07,18000554666.666286,0.30000000000000004,5.247469907534268e-09,9.002574074073519e-09,57.36249999999969
7,24151830047.2,31232274.0,8660.7,333.5,,,,,,0.01880000000000001,2.7681769550967087e-06,18555600896.0,3.8606388901186996e-10,1.2611944442726974e-10,12.286999999999988,,,142469075.58333334,283726424.0,1938.25,1242.0,,,,,,3.3333333333333396e-05,8.760461171119512e-08,2375374165.333471,0.20000000000000004,7.497914351862558e-09,8.304407407495037e-09,60.08666666666678
8,62467694221.2,69976102.66666667,27910.3,296.9166666666667,,,,,,0.01880000000000001,2.7681769550967087e-06,18555600896.0,4.0345277773767536e-10,1.1647777777507237e-10,12.532000000000103,,,192496697.3333333,1405040869.0,1365.3333333333333,2590.333333333333,,,,,,0.0,7.431181071111846e-07,20149436416.0,0.3,4.17906481422327e-09,9.545842592440705e-09,21.72333333333352
9,3468281840.8,128788640.8,2738.7999999999997,949.7,,,,,,0.01880000000000001,2.7681769550967087e-06,18555600896.0,3.9057499990636214e-10,1.0072777777004517e-10,13.027000000000205,0.28843147380050715,0.0,16717340.25,70837604.91666667,178.25,113.66666666666663,,,,,,3.3333333333333396e-05,6.321557031073251e-07,17140722346.666504,0.2,1.3228032407988495e-09,1.1475254629286494e-09,35.535833333333926
