Timestamp,Bytes_Send,Bytes_Received,Packets_Send,Packets_Received,Errors_Send,Errors_Received,Drop_Incoming,Drop_total,CPU_percent,CPU_time,RAM_percent,RAM_info,Ping_target,LAT,LONG,ALT
561,0,0,0,0,0,0,0,0,0.0,0.53,0.8398405195302638,15806464,0,49.62668383333333,6.159858166666667,336.5
1539,98,264,1,2,0,0,0,0,0.0,0.53,0.8398405195302638,15806464,0,49.62668416666667,6.159858333333333,336.6
2536,192,3050,2,7,0,0,0,0,0.0,0.53,0.8398405195302638,15806464,0,49.626684499999996,6.1598584999999995,336.6
3556,9498,5082,37,11,0,0,0,0,0.0,0.53,0.8394052562394992,15798272,0,49.626684833333336,6.159858666666666,336.7
4544,6796,15410,50,61,0,0,0,0,0,0,0,0,0,49.6266855,6.159858833333334,336.7
5549,924,5102,4,27,0,0,0,0,0,0,0,0,0,49.626686,6.159859,336.7
6540,280,868,2,6,0,0,0,0,0,0,0,0,0,49.626686666666664,6.1598593333333325,336.8
7542,280,1910,2,7,0,0,0,0,0,0,0,0,0,49.62668716666667,6.1598593333333325,336.8
8528,1544,2142,6,9,0,0,0,0,0,0,0,0,0,49.626687833333335,6.1598595000000005,336.8
9540,462,868,3,6,0,0,0,0,0,0,0,0,0,49.626689166666665,6.1598593333333325,336.9
10534,280,1910,2,7,0,0,0,0,0,0,0,0,0,49.62668983333333,6.159859,336.9
11545,1460,2022,4,7,0,0,0,0,84.8,0.33999999999999997,0.8085015625952139,15216640,0,49.62669133333334,6.159858833333334,337.0
12545,462,868,3,6,0,0,0,0,0.0,0.55,0.8372289397856763,15757312,0,49.62669233333333,6.159858833333334,337.2
13542,280,1910,2,7,0,0,0,0,0.0,0.55,0.8372289397856763,15757312,0,49.626693666666675,6.1598584999999995,337.3
14543,82168,34286,256,79,0,0,0,0,0.0,0.55,0.8372289397856763,15757312,0,49.62669483333334,6.1598584999999995,337.3
15537,34104,53790,166,117,0,0,0,0,0.0,0.55,0.8372289397856763,15757312,0,49.626695999999995,6.1598584999999995,337.4
16538,21438,73310,169,199,0,0,0,0,0.0,0.55,0.8372289397856763,15757312,0,49.62669716666666,6.159859,337.5
17540,3550,7168,20,23,0,0,0,0,0.0,0.55,0.8372289397856763,15757312,0,49.626698166666664,6.159859166666666,337.7
18541,1904,3832,18,24,0,0,0,0,0.0,0.55,0.8372289397856763,15757312,0,49.626698999999995,6.159859,337.7
19546,81384,19446,76,45,0,0,0,0,0.0,0.55,0.8372289397856763,15757312,0,49.6267,6.159858833333334,337.8
20547,19860,5482,27,18,0,0,0,0,0,0,0,0,0,49.626701000000004,6.159859,337.9
21545,3098,12876,10,37,0,0,0,0,0,0,0,0,0,49.626701999999995,6.1598595000000005,338.0
22543,98,27294,1,87,0,0,0,0,0,0,0,0,0,49.62670249999999,6.159859833333333,337.9
23543,1868,3218,4,9,0,0,0,0,0,0,0,0,0,49.62670333333334,6.159860666666666,337.9
24545,462,1484,3,10,0,0,0,0,0,0,0,0,0,49.62670433333333,6.159861166666667,337.8
25545,688,1910,2,7,0,0,0,0,0,0,0,0,0,49.62670516666667,6.159862333333333,337.8
26537,1460,2022,4,7,0,0,0,0,0,0,0,0,0,49.62670616666666,6.159863,337.8
27547,462,868,3,6,0,0,0,0,94.8,0.32,0.8087191942405961,15220736,0,49.626707,6.1598635,337.8
28544,688,1910,2,7,0,0,0,0,0.0,0.5,0.8374465714310586,15761408,0,49.626707999999994,6.159864166666667,337.7
