Timestamp,Bytes_Send_leo02,Bytes_Received_leo02,Packets_Send_leo02,Packets_Received_leo02,Errors_Send_leo02,Errors_Received_leo02,Drop_Incoming_leo02,Drop_total_leo02,CPU_percent_leo02,CPU_time_leo02,RAM_percent_leo02,RAM_info_leo02,LAT_leo02,LONG_leo02,ALT_leo02,Delay_local,Size_local,Bytes_Send_local,Bytes_Received_local,Packets_Send_local,Packets_Received_local,Errors_Send_local,Errors_Received_local,Drop_Incoming_local,Drop_total_local,CPU_percent_local,CPU_time_local,RAM_percent_local,RAM_info_local,Ping_target_local,LAT_local,LONG_local,ALT_local
511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.62730366666666,6.159190333333333,353.7,,,,,,,,,,,,,,,,,,
1509,98.0,176.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0917026373138181,7507968.0,49.62730383333333,6.159187166666667,353.7,,,,,,,,,,,,,,,,,,
1661,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.1968830539534192,32419840.0,1.0,49.62569466666667,6.158877333333334,375.0
2455,,,,,,,,,,,,,,,,,,105626.0,75184.0,238.0,190.0,0.0,0.0,0.0,0.0,0.0,0.22,0.4157055714048694,68452352.0,1.0,49.62570616666667,6.158887000000001,374.3
2508,5076.0,5076.0,66.0,66.0,0.0,0.0,0.0,0.0,64.8,0.78,0.4044821727671683,33116160.0,49.627303,6.159183333333334,353.5,,,,,,,,,,,,,,,,,,
2943,,,,,,,,,,,,,,,,,,120986.0,62936.0,301.0,263.0,0.0,0.0,0.0,0.0,0.0,0.22,0.4157055714048694,68452352.0,1.0,49.625713833333336,6.158892166666667,373.7
3505,196.0,196.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.99,0.4129870545693227,33812480.0,49.62730233333333,6.1591785,353.2,,,,,,,,,,,,,,,,,,
3943,,,,,,,,,,,,,,,,,,1864.0,2132.0,18.0,17.0,0.0,0.0,0.0,0.0,0.0,0.22,0.4157055714048694,68452352.0,1.0,49.62572216666668,6.158899833333334,373.1
4512,196.0,196.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.99,0.4129870545693227,33812480.0,49.6273025,6.1591741666666655,353.1,,,,,,,,,,,,,,,,,,
4952,,,,,,,,,,,,,,,,,,2740.0,1940.0,26.0,21.0,0.0,0.0,0.0,0.0,0.0,0.22,0.4157055714048694,68452352.0,1.0,49.62572683333333,6.158900833333333,372.6
5513,69048.0,9452.0,139.0,27.0,0.0,0.0,0.0,0.0,0.0,0.99,0.4129870545693227,33812480.0,49.62730266666667,6.1591725,352.9,,,,,,,,,,,,,,,,,,
5938,,,,,,,,,,,,,,,,,,10252.0,4240.0,36.0,23.0,0.0,0.0,0.0,0.0,0.0,0.22,0.4157055714048694,68452352.0,1.0,49.62573033333333,6.158900999999999,372.1
6515,2128.0,2508.0,14.0,12.0,0.0,0.0,0.0,0.0,0.0,0.99,0.4129870545693227,33812480.0,49.62730233333333,6.159167500000001,352.6,,,,,,,,,,,,,,,,,,
7510,40686.0,11326.0,72.0,34.0,0.0,0.0,0.0,0.0,0.0,0.99,0.4129870545693227,33812480.0,49.62730233333333,6.159163666666666,352.5,,,,,,,,,,,,,,,,,,
7940,,,,,,,,,,,,,,,,,,2080.0,2216.0,20.0,18.0,0.0,0.0,0.0,0.0,0.0,0.22,0.4157055714048694,68452352.0,0.0,49.62574133333332,6.15891,371.3
8514,4834.0,2424.0,14.0,5.0,0.0,0.0,0.0,0.0,0.0,0.99,0.4129870545693227,33812480.0,49.627304,6.159161,352.6,,,,,,,,,,,,,,,,,,
9425,,,,,,,,,,,,,,,,,,28612.0,16340.0,124.0,68.0,0.0,0.0,0.0,0.0,0.0,0.22,0.4157055714048694,68452352.0,0.0,49.625749,6.1589141666666665,370.6
