Timestamp,Bytes_Send_leo02,Bytes_Received_leo02,Packets_Send_leo02,Packets_Received_leo02,Errors_Send_leo02,Errors_Received_leo02,Drop_Incoming_leo02,Drop_total_leo02,CPU_percent_leo02,CPU_time_leo02,RAM_percent_leo02,RAM_info_leo02,LAT_leo02,LONG_leo02,ALT_leo02,Delay_local,Size_local,Bytes_Send_local,Bytes_Received_local,Packets_Send_local,Packets_Received_local,Errors_Send_local,Errors_Received_local,Drop_Incoming_local,Drop_total_local,CPU_percent_local,CPU_time_local,RAM_percent_local,RAM_info_local,Ping_target_local,LAT_local,LONG_local,ALT_local
0,,,,,,,,,,,,,49.62731685000001,6.15918965,347.56666666666666,,,,,,,,,,,,0.10749999999999997,0.2581338500893119,42505728.0,0.5294117647058824,49.625812046296296,6.158863342592593,365.9
1,182.75,156.26666666666668,1.375,1.5333333333333334,,,,,96.55882352941177,0.3941176470588235,0.26620280550934433,21812709.05263158,49.627319166666666,6.159185176767677,348.0393939393939,,,25701.0,15205.233333333334,58.2,43.63333333333333,,,,,38.266666666666666,0.12217391304347823,0.23565188513951627,38803723.13043478,0.5735294117647058,49.62582031410257,6.158875105769231,367.1557692307692
2,399.125,374.42424242424244,4.3125,4.333333333333333,,,,,64.85384615384615,0.7463636363636363,0.41455313007014716,33940697.21212121,49.627320166666664,6.159181611111111,348.24242424242425,,,97160.05172413793,49649.34482758621,206.5344827586207,130.51724137931035,,,,,,0.15999999999999998,0.29241053816854495,48149913.6,0.7647058823529411,49.62580980277778,6.158868813888889,367.13
3,18052.58823529412,7066.058823529412,38.55882352941177,18.794117647058822,,,,,,0.7641176470588236,0.4154061144898662,34010533.64705882,49.627320377450985,6.1591785833333335,348.06470588235294,,,27619.203125,18732.578125,84.546875,60.078125,,,,,,0.17281249999999998,0.306662803265563,50496768.0,0.8382352941176471,49.625823536458334,6.1588590234375005,363.86875
4,40355.705882352944,12602.588235294117,80.02941176470588,41.14705882352941,,,,,,0.7641176470588236,0.4154061144898662,34010533.64705882,49.62732074509804,6.159174715686274,347.9970588235294,,,9190.339285714286,6364.196428571428,37.017857142857146,29.464285714285715,,,,,,0.16607142857142856,0.2957945689578138,48707145.14285714,0.8088235294117647,49.625809017857144,6.1588658630952375,367.5125
5,37518.76470588235,12783.29411764706,63.455882352941174,37.19117647058823,,,,,,0.7641176470588236,0.4154061144898662,34010533.64705882,49.62732155147059,6.159170580882353,347.90588235294115,0.12880183969225198,14913.142857142857,8227.62962962963,7251.722222222223,35.111111111111114,26.814814814814813,,,,,,0.17333333333333328,0.30124340236166414,49604380.44444445,0.6470588235294118,49.625823305555556,6.158849228395062,360.8574074074074
6,33155.63636363636,6660.666666666667,37.333333333333336,19.0,,,,,,0.7645454545454545,0.4153611696424374,34006853.81818182,49.62732221717172,6.159166373737373,347.9030303030303,0.09933343529701227,10232.0,19828.40740740741,15415.555555555555,73.68518518518519,51.092592592592595,,,,,,0.16814814814814813,0.288524156739759,47509959.11111111,0.6176470588235294,49.62582994444444,6.158894904320988,365.5888888888889
7,48591.76470588235,4595.058823529412,48.3235294117647,14.941176470588236,,,,,,0.7641176470588236,0.4154061144898662,34010533.64705882,49.627322450980394,6.159162656862745,347.80294117647054,0.22780127250231225,16848.615384615383,20991.741379310344,29303.01724137931,88.15517241379311,64.17241379310344,,,,,,0.16931034482758617,0.29502396878891746,48580254.89655172,0.5588235294117647,49.62580226436782,6.1588649080459765,367.4413793103448
8,53065.117647058825,3495.935483870968,45.8235294117647,11.387096774193548,,,,,,0.7641176470588236,0.4154061144898662,34010533.64705882,49.627323078431374,6.159158421568627,347.8470588235294,0.35275645918316306,15966.4,20951.887096774193,26861.145161290322,78.33870967741936,55.306451612903224,,,,,,0.16741935483870962,0.2874525841833842,47333508.12903226,0.6764705882352942,49.625832553763445,6.158865483870968,363.2096774193548
9,46385.58823529412,5998.25,49.970588235294116,19.125,,,,,,0.7641176470588236,0.4154061144898662,34010533.64705882,49.627323754901965,6.1591545490196085,347.8382352941176,0.2884019017219543,22212.8,14545.962962962964,27569.444444444445,59.03703703703704,47.5,,,,,,0.16518518518518516,0.28591599586278343,47080485.925925925,0.5735294117647058,49.625810040123454,6.158864771604938,368.4962962962963
10,50101.0,3840.823529411765,49.23529411764706,13.529411764705882,,,,,,0.7641176470588236,0.4154061144898662,34010533.64705882,49.627324392156865,6.159150632352941,347.8470588235294,0.26064510092590787,21496.0,17974.833333333332,49846.666666666664,76.15,71.06666666666666,,,,,,0.16666666666666663,0.2921049962111743,48099601.06666667,0.6617647058823529,49.62581095833333,6.158869127777778,366.88666666666666
11,77894.0,3468.3529411764707,65.58823529411765,12.176470588235293,,,,,,0.7641176470588236,0.4154061144898662,34010533.64705882,49.62732501470588,6.159146607843137,347.7882352941176,0.46744413177172334,22434.666666666668,23796.9,51836.9,97.3,69.43333333333334,,,,,,0.16666666666666663,0.2926248771453445,48185207.46666667,0.7352941176470589,49.62583974166667,6.158861641666666,361.4166666666667
12,74063.17647058824,5987.375,66.25,24.734375,,,,,,0.7641176470588236,0.4154061144898662,34010533.64705882,49.62732552696078,6.1591425024509805,347.8058823529412,0.32031757103072267,17101.333333333332,17608.333333333332,49465.318181818184,75.96969696969697,65.1969696969697,,,,,,0.17060606060606057,0.2950649377093,48587000.24242424,0.7352941176470589,49.625817454545455,6.158874949494949,366.1484848484848
13,95647.75757575757,8734.0,100.78787878787878,31.545454545454547,,,2.0,,,0.7645454545454545,0.4153611696424374,34006853.81818182,49.627326636363634,6.159138333333333,347.94242424242424,0.3948728724529868,16160.421052631578,13796.67857142857,57050.142857142855,65.5,64.89285714285714,,,,,,0.1628571428571428,0.2937814920494696,48375661.71428572,0.6764705882352942,49.62581586904762,6.1588728630952385,367.13571428571424
14,102526.17647058824,10310.9375,107.3529411764706,39.40625,,,,,,0.7641176470588236,0.4154061144898662,34010533.64705882,49.6273266372549,6.159134446078432,347.8264705882353,0.34012647011341185,12831.384615384615,19634.85714285714,47595.90476190476,77.54761904761905,67.88095238095238,,,,,,0.17761904761904757,0.30344383925401325,49966713.9047619,0.47058823529411764,49.625835916666674,6.15887875,363.8619047619048
15,98641.23529411765,9861.625,101.70588235294117,44.625,,,1.0,,,0.7641176470588236,0.4154061144898662,34010533.64705882,49.62732720588235,6.159130578431372,347.7823529411765,0.0057511329650878,2040.0,22356.166666666668,51463.291666666664,86.875,71.6875,,,,,,0.16708333333333328,0.28632723804937205,47148202.666666664,0.20588235294117646,49.625823131944436,6.158882093749999,363.11875000000003
16,49651.85294117647,7450.176470588235,72.0,40.279411764705884,,,,,,0.7641176470588236,0.4154061144898662,34010533.64705882,49.627327825980394,6.159126529411765,347.73970588235295,1.7355539685203913,5368.0,112825.13043478261,82261.86956521739,396.9130434782609,180.56521739130434,,,3.0,,,0.17086956521739127,0.3019450656711604,49719919.30434783,0.08823529411764706,49.62581747101449,6.158862318840579,370.4260869565217
