Timestamp,Bytes_Send_leo02,Bytes_Received_leo02,Packets_Send_leo02,Packets_Received_leo02,Errors_Send_leo02,Errors_Received_leo02,Drop_Incoming_leo02,Drop_total_leo02,CPU_percent_leo02,CPU_time_leo02,RAM_percent_leo02,RAM_info_leo02,LAT_leo02,LONG_leo02,ALT_leo02,Delay_local,Size_local,Bytes_Send_local,Bytes_Received_local,Packets_Send_local,Packets_Received_local,Errors_Send_local,Errors_Received_local,Drop_Incoming_local,Drop_total_local,CPU_percent_local,CPU_time_local,RAM_percent_local,RAM_info_local,Ping_target_local,LAT_local,LONG_local,ALT_local
0,,,,,,,,,,0.0,1.5918268928041336e-06,10670309375.999777,2.560542327973581e-10,1.8332142856334002e-10,6.5847619047618835,,,,,,,,,,,,,,,0.09999999999999999,1.8991396603695403e-09,1.3862708333137895e-09,64.145
1,38774.333333333336,2802541.3333333335,5.583333333333333,15.583333333333336,,,,,756.5033333333337,0.12001777777777775,0.006952827221527276,46606083756305.086,4.762743827681898e-10,1.4141018518411454e-10,9.060444444444453,,,10665196.027777778,20694268.194444448,906.7499999999999,855.5,,,,,,7.000000000000001e-05,1.0064996299810245e-06,27290938026.66634,0.0,2.4269432096840153e-09,1.750562037046226e-09,57.75288888888885
2,983972.7111111111,961809.511111111,10.044444444444443,7.555555555555555,,,,,,2.3333333333333065e-05,3.044883411829334e-07,2041041533.155637,4.570728395226848e-10,1.3972500000845224e-10,8.40988888888885,,,21814488.944444444,28569315.788888887,3348.1777777777775,3308.6222222222223,,,,,,9.444444444444452e-05,9.376396552959392e-07,25423820299.377823,0.0,2.2763842589629607e-09,1.747241975318325e-09,55.80444444444444
3,1020089.3444444446,1030032.011111111,6.900000000000007,6.9333333333333345,,,,,,2.3333333333333065e-05,3.044883411829334e-07,2041041533.155637,4.2870493834457074e-10,1.3508518519409382e-10,8.421777777777773,0.0038499983393691663,298261617.77777773,104446306.76666665,86992965.73333332,15827.28888888889,15820.488888888885,,,,,,9.444444444444452e-05,9.376396552959392e-07,25423820299.377823,0.0,2.1987580247331968e-09,1.7572731481083997e-09,53.87600000000003
4,10545095.78888889,2784153.5111111114,79.21111111111111,65.15555555555555,,,,,,2.3333333333333065e-05,3.044883411829334e-07,2041041533.155637,4.163089506666464e-10,1.3125956791095215e-10,8.659999999999949,0.022732670778729872,298261617.7777778,23663923.566666666,30192051.87777778,5167.511111111111,5084.722222222223,,,,,,9.444444444444452e-05,9.376396552959392e-07,25423820299.377823,0.0,2.0707966050296337e-09,1.757179012339636e-09,53.041000000000075
5,8166234056.099999,2421092804.011111,806.0999999999999,213.56666666666672,,,,,,2.3333333333333065e-05,3.044883411829334e-07,2041041533.155637,3.914040123814551e-10,1.3012376543217546e-10,8.039555555555545,0.09655782772449233,298261617.77777773,77829671.3888889,77238914.8888889,20019.511111111107,20179.877777777776,,,,,,9.444444444444452e-05,9.376396552959392e-07,25423820299.377823,0.0,2.108272839719483e-09,1.7641756173133328e-09,51.954333333333274
6,6786851592.177779,2023963975.377778,883.3888888888889,398.27777777777777,,,,,,2.3333333333333065e-05,3.044883411829334e-07,2041041533.155637,3.6418641975644746e-10,1.240496913604882e-10,7.469333333333277,0.010091157186104411,298261617.77777773,134156598.90000002,475707436.1000001,1627.5111111111112,1866.622222222222,,,,,,9.444444444444452e-05,9.376396552959392e-07,25423820299.377823,0.0,2.1787608022412205e-09,1.7779780864176787e-09,51.20622222222253
7,8384296306.266666,2557210914.322222,1025.822222222222,200.3222222222222,,,,,,2.3333333333333065e-05,3.044883411829334e-07,2041041533.155637,3.3359290120523734e-10,1.2076049382071263e-10,7.003222222222147,0.023696284212283012,298261617.77777773,1627905746.0000002,5381631252.527778,2711.1944444444443,2030.9444444444441,,,,,,0.00010277777777777797,1.054624612288827e-06,28595832604.444626,0.09999999999999999,2.3622067901457226e-09,1.9560555555747322e-09,52.51750000000006
8,5179470207.611111,1203891744.044444,1303.8333333333333,423.9555555555556,,,,,,2.3333333333333065e-05,3.044883411829334e-07,2041041533.155637,2.9250277765908936e-10,1.1217901234660079e-10,5.957333333333391,1.4314287475054233,298261617.7777778,2008752888.7222223,6878054796.01111,3609.955555555556,4026.9444444444443,,,,,,9.444444444444452e-05,9.376396552959392e-07,25423820299.377823,0.09999999999999999,1.974580246989028e-09,1.7606370370307484e-09,44.10711111111128
9,3626885043.822224,1096712217.066667,883.5111111111111,462.44444444444446,,,,,,2.3333333333333065e-05,3.044883411829334e-07,2041041533.155637,2.63222530818997e-10,1.0351111112062272e-10,5.5512222222222505,0.392042718407402,298261617.77777773,2216452801.0277777,8500863340.0,6509.444444444444,7131.249999999999,,,,,,0.00010277777777777797,1.054624612288827e-06,28595832604.444626,0.09999999999999999,2.231916666453397e-09,1.9434753086499817e-09,44.78250000000001
10,4585754291.288889,1251680521.211111,689.1111111111111,208.98888888888894,,,,,,2.3333333333333065e-05,3.044883411829334e-07,2041041533.155637,2.480506172194839e-10,1.0756296296623789e-10,5.100111111111016,0.03299983658955767,287609417.14285713,1353379242.6111112,6130462386.194446,5252.319444444444,5248.236111111111,,,,,,0.000102777777777778,1.0117246280600751e-06,27432612295.111046,0.11388888888888887,2.152304012525764e-09,1.7308402777893836e-09,38.610000000000056
11,6390902992.933332,2168378325.8333344,828.5444444444444,313.77777777777777,,,,,,2.3333333333333065e-05,3.044883411829334e-07,2041041533.155637,2.379518518825097e-10,1.1228518518574801e-10,4.8921111111111095,0.44580151659571876,298261617.77777773,1568628602.3611112,5256535254.361111,3741.402777777778,4997.527777777777,,,,,,0.000102777777777778,1.0036808810172039e-06,27214508487.110928,0.09999999999999999,1.6201373458371488e-09,1.880316743836617e-09,42.06000000000006
12,6691696446.622223,1562610745.333334,1466.988888888889,417.77777777777777,,,,,,2.3333333333333065e-05,3.044883411829334e-07,2041041533.155637,2.2938271601773576e-10,1.2042098765399189e-10,4.910666666666714,0.5906839150720035,298261617.77777773,1244951097.375,5452649679.944445,8373.111111111111,7878.375,,,,,,7.500000000000002e-05,1.0546246122888392e-06,28595832604.444588,0.09999999999999999,1.9175204477332385e-09,1.508031250012541e-09,40.405694444444535
