Timestamp,Bytes_Send_leo02,Bytes_Received_leo02,Packets_Send_leo02,Packets_Received_leo02,Errors_Send_leo02,Errors_Received_leo02,Drop_Incoming_leo02,Drop_total_leo02,CPU_percent_leo02,CPU_time_leo02,RAM_percent_leo02,RAM_info_leo02,LAT_leo02,LONG_leo02,ALT_leo02,Delay_local,Size_local,Bytes_Send_local,Bytes_Received_local,Packets_Send_local,Packets_Received_local,Errors_Send_local,Errors_Received_local,Drop_Incoming_local,Drop_total_local,CPU_percent_local,CPU_time_local,RAM_percent_local,RAM_info_local,Ping_target_local,LAT_local,LONG_local,ALT_local
0,,,,,,,,,,0.0,5.0626284112191626e-09,33935732.363640174,1.2994195155623948e-10,4.75034544141925e-10,10.110897435897504,,,,,,,,,,,,,,,0.0,9.980347090191159e-09,3.419072169294696e-08,418.6417142857147
1,23431.418181818182,1022925.6555555558,4.290909090909091,2.888888888888889,,,,,2314.0133333333333,0.0893638095238095,0.005186736307232721,34767650490192.465,1.1571693121262072e-10,4.043629629670003e-10,9.472666666666658,,,7120276.238095239,7107710.695238096,705.4952380952382,658.5999999999998,,,,,547.3366666666666,0.002952564102564099,1.4182934689779943e-06,38456605459.69231,0.0,1.0029517725138632e-08,3.4718097089839664e-08,418.66780952380907
2,882633.5071428573,1739263.0166666664,9.552380952380954,8.066666666666668,,,,,,5.999999999999889e-05,1.076402021538776e-06,7215321361.066596,1.0870205028870502e-10,3.785851190563123e-10,9.143142857142967,,,40805255.39999999,47809393.885714285,8615.257142857143,8071.457142857144,,,,,,0.00012380952380952362,1.4247037619510802e-06,38630418646.55229,0.0,1.0148532539997932e-08,3.551812248673178e-08,422.97828571428636
3,954049.8736263737,885119.6318681319,16.07142857142857,12.285714285714285,,,,,,6.428571428571307e-05,1.1589674754472248e-06,7768772833.054871,1.081440782578834e-10,3.759645909730734e-10,9.232087912087934,0.0006984868164703122,26272014.065934062,16679148.599999996,7529758.542857142,1435.8857142857141,1301.5714285714287,,,,,,0.00012380952380952362,1.4247037619510802e-06,38630418646.55229,0.0,1.0265670105586415e-08,3.670012089952594e-08,431.02409523809575
4,8122224.638095238,2494982.380952381,62.71428571428571,52.26666666666667,,,,,,5.999999999999889e-05,1.076402021538776e-06,7215321361.066596,1.0969126986965004e-10,3.394272486713262e-10,8.585523809523897,0.000967137162667984,27962026.66666666,31868736.63809524,48701935.457142845,2142.285714285714,2068.8380952380953,,,,,,0.00012380952380952362,1.4247037619510802e-06,38630418646.55229,0.0,1.0430307407128553e-08,3.764992936508993e-08,436.18238095237996
5,368921716.6857143,94070581.63809524,50.171428571428564,33.4,,,,,,5.999999999999889e-05,1.076402021538776e-06,7215321361.066596,1.0136693118051189e-10,3.2263571428887756e-10,7.769523809523876,0.0008932048698163779,27962026.66666666,59293124.12380953,88157838.17142858,1179.542857142857,1142.2666666666664,,,,,,0.00012380952380952362,1.4247037619510802e-06,38630418646.55229,0.0,1.0013787566185751e-08,3.4254708200910224e-08,415.529238095238
6,485006166.4285713,126013355.1142857,87.83809523809524,89.88571428571429,,,,,,5.999999999999889e-05,1.076402021538776e-06,7215321361.066596,8.763968259967551e-11,3.0755105821063427e-10,7.576952380952343,0.0024203795969348053,27962026.66666666,38387899.571428575,136539892.2095238,599.1238095238095,498.12380952380954,,,,,,0.00012380952380952362,1.4247037619510802e-06,38630418646.55229,0.0,9.62089365069145e-09,3.193770714290582e-08,402.0782857142852
7,457040466.63809526,122767237.26666667,55.828571428571436,64.85714285714288,,,,,,5.999999999999889e-05,1.076402021538776e-06,7215321361.066596,8.274391536625086e-11,2.825661375689973e-10,7.644095238095303,0.0027561114463523877,27962026.66666666,170743076.0285714,496162533.2095238,792.6000000000001,749.2095238095241,,,,,,0.00012380952380952362,1.4247037619510802e-06,38630418646.55229,0.0,9.377732805202657e-09,2.981008518528947e-08,388.0963809523806
8,473703458.9452381,122589427.56428571,108.38809523809525,67.95952380952383,,,,,,5.999999999999889e-05,1.076402021538776e-06,7215321361.066596,8.385661378640006e-11,2.7509391534426326e-10,7.174952380952299,0.004802561420467206,27962026.66666666,148212123.78095236,477549041.6857143,2735.828571428571,2605.952380952381,,,,,,0.00012380952380952362,1.4247037619510802e-06,38630418646.55229,0.0,9.182122486991895e-09,2.800150740739635e-08,376.34409523809546
9,484731268.1714285,120337444.0952381,66.60000000000004,55.4,,,,,,5.999999999999889e-05,1.076402021538776e-06,7215321361.066596,9.153571427755961e-11,2.804026455001499e-10,6.607809523809486,0.004021661330396574,27962026.66666666,151884189.98095232,572771079.5238096,3214.6952380952384,2718.352380952381,,,,,,0.00012380952380952362,1.4247037619510802e-06,38630418646.55229,0.0,8.977615873653842e-09,2.6832130423288476e-08,367.9192380952376
10,435834447.03296703,110568824.43956043,49.34065934065935,30.593406593406602,,,,,,6.428571428571307e-05,1.1589674754472248e-06,7768772833.054871,8.770344938496737e-11,3.048865995148918e-10,6.480714285714159,0.0014474490773427097,27962026.66666666,238247163.45714286,722776097.9238094,16749.69523809524,16906.780952380952,,,,,,0.00012380952380952362,1.4247037619510802e-06,38630418646.55229,0.0,8.887331217588613e-09,2.658514629631231e-08,361.62285714285747
