Timestamp,Bytes_Send_leo02,Bytes_Received_leo02,Packets_Send_leo02,Packets_Received_leo02,Errors_Send_leo02,Errors_Received_leo02,Drop_Incoming_leo02,Drop_total_leo02,CPU_percent_leo02,CPU_time_leo02,RAM_percent_leo02,RAM_info_leo02,LAT_leo02,LONG_leo02,ALT_leo02,Delay_local,Size_local,Bytes_Send_local,Bytes_Received_local,Packets_Send_local,Packets_Received_local,Errors_Send_local,Errors_Received_local,Drop_Incoming_local,Drop_total_local,CPU_percent_local,CPU_time_local,RAM_percent_local,RAM_info_local,Ping_target_local,LAT_local,LONG_local,ALT_local
0,,,,,,,,,,0.0,3.524878732755447e-06,23627912533.333168,5.420648146504075e-10,3.86370370382854e-10,2.9633333333333773,,,,,,,,,,,,,,,0.2,3.8124629626506025e-09,2.068958333343001e-10,119.93583333333332
1,22472.0,2602145.333333333,2.0,8.333333333333332,,,,,,0.15410000000000001,0.00889464637346423,59622455823564.8,8.312444443958041e-10,2.2982499998878522e-10,2.0920000000000254,,,12700591.583333334,27365194.000000004,918.3333333333334,785.6666666666666,,,,,,3.333333333333358e-05,1.0335183700481077e-06,28023543125.33338,0.0,3.6773972217272956e-09,2.0709722222419923e-09,90.73700000000035
2,85808.3,1844818.7,15.8,12.700000000000003,,,,,,2.9999999999999167e-05,4.397546934995182e-07,2947756851.199951,8.078750000332597e-10,2.3303611112496423e-10,1.833000000000046,,,19965087.200000003,35625315.2,2225.5,2199.7000000000003,,,,,,8.000000000000066e-05,8.897621728971332e-07,24125636607.99984,0.0,3.5092694440897698e-09,2.0190333333443197e-09,87.61300000000013
3,17379.700000000004,12253.7,1.1999999999999997,1.3,,,,,,2.9999999999999167e-05,4.397546934995182e-07,2947756851.199951,7.431027777576693e-10,2.2179722224043975e-10,1.8669999999999902,0.0023889479482619457,0.0,28025813.8,15830308.199999997,2502.5,2379.0,,,,,,8.000000000000066e-05,8.897621728971332e-07,24125636607.99984,0.0,3.3649805554537514e-09,1.985805555538333e-09,84.24699999999994
4,14399598.3,3120873.5,92.5,64.8,,,,,,2.9999999999999167e-05,4.397546934995182e-07,2947756851.199951,7.23980555507201e-10,2.1920277777618898e-10,1.8669999999999651,0.02513631565692265,0.0,10591913.2,8422058.8,2108.5,2170.0,,,,,,8.000000000000066e-05,8.897621728971332e-07,24125636607.99984,0.0,3.0074361112697813e-09,1.9323527777453416e-09,82.03299999999999
5,14456161338.8,4287984327.8,1542.7,314.0,,,,,,2.9999999999999167e-05,4.397546934995182e-07,2947756851.199951,6.859027776630304e-10,2.259861111042071e-10,1.866999999999983,0.016863119001373255,0.0,22401645.8,23933239.3,5208.2,5309.7,,,,,,8.000000000000066e-05,8.897621728971332e-07,24125636607.99984,0.0,3.113758333520128e-09,1.9452861111314944e-09,82.82499999999962
6,1997306208.6999998,921158550.6999999,232.30000000000004,312.5,,,,,,2.9999999999999167e-05,4.397546934995182e-07,2947756851.199951,6.463666665393025e-10,2.11138888885979e-10,1.8180000000000112,0.006987462959803757,0.0,9438696.0,10639708.5,1545.2,1720.8000000000002,,,,,,8.000000000000066e-05,8.897621728971332e-07,24125636607.99984,0.0,3.181297221703455e-09,1.9800333333290806e-09,83.56999999999998
7,3895686433.700001,905673775.7,769.2,256.0,,,,,,2.9999999999999167e-05,4.397546934995182e-07,2947756851.199951,5.922972222700151e-10,1.9802222221886884e-10,1.6379999999999837,0.03729839178191106,0.0,3865590712.3333335,10969672178.25,300.66666666666674,580.6666666666666,,,,,,9.166666666666762e-05,1.06156835973608e-06,28784110250.666702,0.2,3.5678240748284645e-09,2.6011296296945308e-09,104.44000000000011
8,4052950315.7000003,3178065.699999999,2020.7,675.7,,,,,,2.9999999999999167e-05,4.397546934995182e-07,2947756851.199951,5.228694443965241e-10,1.7865277776560425e-10,1.3570000000000477,2.436875171421467,0.0,18137199.69999998,344807017.70000017,4373.5,2931.5,,,,,,8.000000000000066e-05,8.897621728971332e-07,24125636607.99984,0.2,2.7274222221898288e-09,1.943077777814095e-09,72.24300000000002
9,3713732446.7000003,876845367.2,1463.3,888.8,,,,,,2.9999999999999167e-05,4.397546934995182e-07,2947756851.199951,4.680555556077502e-10,1.6585277779480957e-10,1.1869999999999912,0.6253256440112933,0.0,903414341.5833331,4041528804.9166665,8762.0,6944.916666666667,,,,,,9.166666666666762e-05,1.06156835973608e-06,28784110250.666702,0.2,2.8758333327519614e-09,2.4985740741712933e-09,89.98250000000034
10,1823021840.2999997,163151.20000000013,639.2000000000002,44.0,,,,,,2.9999999999999167e-05,4.397546934995182e-07,2947756851.199951,4.380361111386747e-10,1.5964722222502673e-10,1.028,0.04524571852032853,0.0,1702948096.6999998,8170534311.7,4492.3,3426.05,,,,,,8.000000000000066e-05,8.897621728971332e-07,24125636607.99984,0.05,2.3283805559064314e-09,1.853286111121395e-09,62.48300000000015
11,844496642.3000001,862680384.8,206.29999999999998,302.2,,,,,,2.9999999999999167e-05,4.397546934995182e-07,2947756851.199951,4.246527778527985e-10,1.6185277779060864e-10,1.1050000000000129,0.7401055724484238,0.0,1370300266.8,4699123892.8,3570.9500000000003,4246.5,,,,,,8.000000000000066e-05,8.897621728971332e-07,24125636607.99984,0.0,2.3217972224703464e-09,1.7696055555991249e-09,61.36700000000016
12,5605371766.0,3398243.3,2296.7000000000003,785.7,,,,,,2.9999999999999167e-05,4.397546934995182e-07,2947756851.199951,3.985611112775243e-10,1.893055555502921e-10,0.9319999999999893,1.0269355812886503,0.0,5804465.799999983,492849154.50000024,1601.6999999999998,1483.3000000000002,,,,,,8.000000000000066e-05,8.897621728971332e-07,24125636607.99984,0.0,2.342986111384165e-09,1.6780888889182911e-09,60.546999999999805
13,880393259.7000003,858408455.3,230.30000000000004,78.5,,,,,,2.9999999999999167e-05,4.397546934995182e-07,2947756851.199951,3.659361111515195e-10,2.0281388888742585e-10,0.8230000000000011,0.5499814056538229,0.0,3075769684.2999997,9060960095.2,4014.7,2517.2000000000003,,,,,,8.000000000000066e-05,8.897621728971332e-07,24125636607.99984,0.0,2.313644444464183e-09,1.6008055555853305e-09,61.25499999999999
