Timestamp,Bytes_Send_leo02,Bytes_Received_leo02,Packets_Send_leo02,Packets_Received_leo02,Errors_Send_leo02,Errors_Received_leo02,Drop_Incoming_leo02,Drop_total_leo02,CPU_percent_leo02,CPU_time_leo02,RAM_percent_leo02,RAM_info_leo02,LAT_leo02,LONG_leo02,ALT_leo02,Delay_local,Size_local,Bytes_Send_local,Bytes_Received_local,Packets_Send_local,Packets_Received_local,Errors_Send_local,Errors_Received_local,Drop_Incoming_local,Drop_total_local,CPU_percent_local,CPU_time_local,RAM_percent_local,RAM_info_local,Ping_target_local,LAT_local,LONG_local,ALT_local
0,,,,,,,,,,1.03,0.4888806174744303,40026112.0,49.62730799999999,6.159228833333333,340.2,,,,,,,,,,,,,,,1.0,49.6259185,6.158860000000001,346.2
1,748.0,2904.0,10.0,10.0,,,,,69.9,1.75,0.6661823886911087,54542336.0,49.62730816666667,6.1592265,340.1,,,7560.0,7289.0,48.0,49.0,,,,,,0.21,0.4000346255564466,65871872.0,1.0,49.62591783333334,6.158857666666667,345.8
2,545.0,605.0,8.0,9.0,,,,,,1.75,0.6661823886911087,54542336.0,49.6273085,6.1592218333333335,340.1,,,8521.0,9928.0,35.0,41.0,,,,,,0.21,0.4000346255564466,65871872.0,1.0,49.6259195,6.1588565,345.6
3,3875.0,3851.0,16.0,15.0,,,,,,1.75,0.6661823886911087,54542336.0,49.62730916666666,6.159217333333333,340.0,,,12843.0,11479.0,68.0,67.0,,,,,,0.21,0.4000346255564466,65871872.0,1.0,49.62591883333333,6.158854833333334,345.6
4,1660.0,1418.0,18.0,18.0,,,,,,1.75,0.6661823886911087,54542336.0,49.62730983333333,6.159212999999999,340.1,0.046916961669921854,1016.0,1273.0,1277.0,17.0,18.0,,,,,,0.21,0.4000346255564466,65871872.0,1.0,49.6259185,6.1588525,345.0
5,7940.0,4600.0,20.0,20.0,,,,,,1.75,0.6661823886911087,54542336.0,49.62731050000001,6.1592075,340.0,0.012627243995666448,1016.0,1044.0,1884.0,11.0,22.0,,,,,,0.21,0.4000346255564466,65871872.0,1.0,49.625918166666665,6.158849999999999,344.6
6,5405.0,3279.0,11.0,14.0,,,,,,1.75,0.6661823886911087,54542336.0,49.6273115,6.159202166666668,339.9,0.0069175958633422505,1016.0,1718.0,2272.0,21.0,26.0,,,,,,0.21,0.4000346255564466,65871872.0,1.0,49.625916833333335,6.158848833333334,344.2
7,5509.0,3257.0,14.0,15.0,,,,,,1.75,0.6661823886911087,54542336.0,49.6273125,6.159197000000001,340.0,0.008979320526123,1016.0,5169.0,8719.0,25.0,29.0,,,,,,0.21,0.4000346255564466,65871872.0,1.0,49.62591483333334,6.158846166666666,343.5
8,5406.0,3070.0,13.0,12.0,,,,,,1.75,0.6661823886911087,54542336.0,49.627313666666666,6.159192,340.1,0.0239893198013305,1016.0,16922.0,6440.0,25.0,23.0,,,,,,0.21,0.4000346255564466,65871872.0,1.0,49.62591433333333,6.158844333333334,343.1
9,5662.0,3392.0,17.0,17.0,,,,,,1.75,0.6661823886911087,54542336.0,49.62731466666667,6.1591875,340.3,0.01734471321105955,1016.0,3941.0,6659.0,24.0,30.0,,,,,,0.21,0.4000346255564466,65871872.0,1.0,49.6259135,6.158841833333335,342.7
