Timestamp,Bytes_Send_leo02,Bytes_Received_leo02,Packets_Send_leo02,Packets_Received_leo02,Errors_Send_leo02,Errors_Received_leo02,Drop_Incoming_leo02,Drop_total_leo02,CPU_percent_leo02,CPU_time_leo02,RAM_percent_leo02,RAM_info_leo02,LAT_leo02,LONG_leo02,ALT_leo02,Delay_local,Size_local,Bytes_Send_local,Bytes_Received_local,Packets_Send_local,Packets_Received_local,Errors_Send_local,Errors_Received_local,Drop_Incoming_local,Drop_total_local,CPU_percent_local,CPU_time_local,RAM_percent_local,RAM_info_local,Ping_target_local,LAT_local,LONG_local,ALT_local
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.03,0.4929329435095745,40357888.0,49.62731999999999,6.159197833333334,347.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,49.625665166666664,6.158459583333334,392.2
1.0,116.4,102.0,1.4,1.2,0.0,0.0,0.0,0.0,19.96,1.17,0.5277529301819244,43208704.0,49.627317833333336,6.159192366666668,346.88,,,650.8,689.8,3.0,3.6,0.0,0.0,0.0,0.0,0.0,0.04599999999999998,0.08000692511128932,13174374.4,1.0,49.62568713333333,6.1586224000000005,379.21999999999997
2.0,553.2,1991.6,8.0,7.2,0.0,0.0,0.0,0.0,2.0,1.75,0.6666726701126446,54582476.8,49.62731766666666,6.159189633333334,346.86,,,11528.8,11469.2,139.2,138.8,0.0,0.0,0.0,0.0,0.0,0.22999999999999998,0.4003977959042345,65931673.6,1.0,49.62568713333334,6.1586202,379.28000000000003
3.0,2787.2,3237.8,15.8,14.8,0.0,0.0,0.0,0.0,0.0,1.75,0.6666726701126446,54582476.8,49.6273173,6.159185866666666,346.71999999999997,,,8009.8,8876.6,83.0,81.4,0.0,0.0,0.0,0.0,0.0,0.22999999999999998,0.4003977959042345,65931673.6,1.0,49.625686733333325,6.158616033333333,379.58000000000004
4.0,1863.8,1859.0,10.4,10.0,0.0,0.0,0.0,0.0,0.0,1.75,0.6666726701126446,54582476.8,49.627317633333334,6.159181733333333,346.68,0.06808345317840572,16376.0,11056.4,9468.2,110.0,109.2,0.0,0.0,0.0,0.0,0.0,0.22999999999999998,0.4003977959042345,65931673.6,1.0,49.62568686666667,6.158614999999999,379.65999999999997
5.0,19786.2,10678.0,26.8,25.8,0.0,0.0,0.0,0.0,0.0,1.75,0.6666726701126446,54582476.8,49.62731776666667,6.159177733333333,346.56,0.08517295664007007,16376.0,3031.2,3213.0,41.6,43.0,0.0,0.0,0.0,0.0,0.0,0.22999999999999998,0.4003977959042345,65931673.6,1.0,49.62568976666667,6.1586224000000005,379.2
6.0,68844.4,35356.4,37.2,34.8,0.0,0.0,0.0,0.0,0.0,1.75,0.6666726701126446,54582476.8,49.62731806666667,6.1591739,346.48,0.0985775232315063,16376.0,5952.2,7665.8,68.6,68.4,0.0,0.0,0.0,0.0,0.0,0.22999999999999998,0.4003977959042345,65931673.6,1.0,49.62569223333334,6.158626433333334,378.96
7.0,68184.6,35179.4,32.6,32.6,0.0,0.0,0.0,0.0,0.0,1.75,0.6666726701126446,54582476.8,49.62731836666667,6.159169566666668,346.36,0.08390538692474361,16376.0,25066.6,45620.4,64.8,65.8,0.0,0.0,0.0,0.0,0.0,0.22999999999999998,0.4003977959042345,65931673.6,1.0,49.62569496666667,6.1586329,378.54
8.0,68774.8,35297.8,39.4,34.0,0.0,0.0,0.0,0.0,0.0,1.75,0.6666726701126446,54582476.8,49.62731876666667,6.159165666666667,346.3,0.1732643710242377,16376.0,31197.8,57811.8,63.6,64.4,0.0,0.0,0.0,0.0,0.0,0.22999999999999998,0.4003977959042345,65931673.6,1.0,49.6256977,6.158638233333334,378.2
9.0,68274.2,34892.2,33.8,28.2,0.0,0.0,0.0,0.0,0.0,1.75,0.6666726701126446,54582476.8,49.627319,6.159161766666666,346.2,0.1501944780349731,16376.0,41898.4,75908.6,133.4,130.2,0.0,0.0,0.0,0.0,0.0,0.22999999999999998,0.4003977959042345,65931673.6,1.0,49.625699000000004,6.1586424,378.0
